cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,power_based_avg_power_W
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,602.2757307692308
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,554.3719202279202
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,600.5270000000002
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,534.0409725028059
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,600.1027619047619
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,460.2901640550806
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,600.522696969697
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,388.48121957671964
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,600.9067272727274
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,385.91796058879385
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,602.2732424242425
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,364.2900092592593
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,582.4446666666666
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,348.09269332210994
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,570.636435897436
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,442.9263703703704
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,572.4726428571429
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,420.104175084175
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,568.8701666666667
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,371.1758686868686
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,555.977625
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,317.5865681386515
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,541.6966148148148
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,315.56296380471383
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,513.8057666666667
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,298.1139898989899
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,429.7527888888889
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,286.01321380471387
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,443.50371111111116
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,364.0848919753086
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,450.02152083333334
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,347.5527090909091
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,446.4850462962963
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,320.7868962962963
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,440.0316296296296
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,277.89545931537594
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,429.7707407407408
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,276.42837171717173
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,404.87809999999996
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,260.9993777777778
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,348.4216666666666
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,251.24946872427984
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,326.4621333333334
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,276.8636739618406
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,328.10222124756336
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,268.8393888888889
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,322.93773333333337
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,254.75534444444443
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,319.10533333333336
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,225.35544444444443
