cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,power_based_j_per_token
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,0.023815244695321106
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,0.04102587479651786
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,0.0241007413319179
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,0.04579288602572821
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,0.024076693237922303
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.05664132985024557
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,0.024234959632457385
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.08211122158614419
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,0.02410048488023546
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.14769754710225252
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,0.024154093140819826
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.25637572523292823
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,0.02394064475685402
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.47531771793329125
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.023089225956745636
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,0.035155964735465145
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.023157410384732197
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,0.03827048425050614
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.023037998225021363
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.0468620475964118
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.02289142984809876
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.06882829416384946
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.022466661170012295
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.12395327380285494
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.021772351352349176
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.21512036086339587
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,0.01904227084407552
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.39913630220464164
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.02056645053452386
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,0.03184372512972183
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.02085716469494502
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,0.034918972479826046
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.020730933601916277
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.04240093581648892
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.020791639025652852
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.06288458302647716
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.02045284463387948
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.11397593558189535
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.01974270949065032
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.19980660954938273
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.017783345859254437
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.3716261185729424
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.017899976012224473
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,0.028521004295308475
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.0180217218002706
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,0.031572236687388
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.017769707772013348
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.03875867759554768
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.017818528583984375
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.05886118943758417
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.01773100706380208
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.1070074345425926
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.017128014885990202
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.197313560664465
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.01541379581845238
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.37396212502020576
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016685967140073553
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.027840006570857726
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016649419682026535
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.03148897090437564
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.017041276170117928
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.04010289487562157
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.017100299345761256
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.06463738119480178
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.01714129049011984
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.11745263756818392
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016568813823558667
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.21200057004965775
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.015558334530526621
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.39951095011816007
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,0.018091934103587757
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,0.031663877842575024
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,0.018053382187489097
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,0.03568291692023027
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,0.01858590153704749
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,0.043082615491472444
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,0.018875044005810773
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,0.06523322653164003
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,0.018826198961498116
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,0.11872653620929086
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,0.018094616467963325
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,0.2147410503270564
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,0.015125823854980467
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,0.40652265951470107
