cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,throughput_tokens_per_sec
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,25288.991504222166
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,13512.996341770462
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,24917.36794078881
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,11662.024015805822
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,24924.633308401266
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,8126.296186566217
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,24779.18935269208
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,4731.096831424557
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,24933.37842407846
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,2612.8847881113743
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,24934.64328592928
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,1420.9194203832867
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,24328.658637188586
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,732.3362033453524
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,24714.400643604185
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,12598.82001183186
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,24720.92643120293
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,10977.136442047042
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,24692.672879354952
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,7920.517705594306
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,24287.584928968496
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,4614.138122027474
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,24111.137273369437
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,2545.810273152646
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,23599.00134434415
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,1385.798135404943
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,22568.322068762856
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,716.5795270575122
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,21564.27889835807
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,11433.451880408675
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,21576.34819253309
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,9953.076161000221
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,21537.113311716763
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,7565.526380598329
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,21163.857133630434
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,4419.113347188527
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,21012.761045678984
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,2425.3130824681302
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,20507.723403860775
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,1306.2567278268966
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,19592.530914502357
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,676.0803200113514
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,18238.04973979833
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,9707.316488345925
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,18205.79302170531
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,8515.021459227468
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,18173.482215484728
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,6572.8812804881745
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,17908.62056401661
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,3828.585709803838
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,17746.112742502286
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,2100.456265777733
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,17295.558281221725
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,1118.413013356751
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,16551.724137931036
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,578.3888229573236
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,14657.854418984352
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,8178.077992481486
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,14594.47421945752
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,7079.283468357282
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,14861.894323078084
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,5365.037836763757
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,14620.303994764865
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,3122.7444251404113
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,14364.369630019288
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,1714.5349591131824
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,13950.1617755577
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,909.401652396475
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,13324.176817146781
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,469.8878480919959
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,11346.031214743469
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,6213.581061522723
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,11474.527701744455
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,5408.233546342653
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,10941.266820261111
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,4425.488704997748
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,10800.026367251874
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,2685.635933632105
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,10650.949120221892
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,1478.5309710402564
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,10442.541800335679
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,788.1385531829088
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,10074.608510289416
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,407.6038376735594
