cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,total_energy_based_avg_power_W
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,594.2929724932311
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,543.1806750692398
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,586.5708962790227
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,522.9143080819243
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,600.947249654543
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,454.7994212522083
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,584.7988505747128
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,381.51946786112256
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,598.8469732837335
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,376.09874224677856
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,590.7954410944078
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,356.20175411186784
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,576.2517736347137
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,340.16599620609156
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,563.2201578841514
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,433.7336552451913
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,555.7201594346859
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,407.0851838668164
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,557.0437818693325
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,365.10529234655763
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,550.5736874613959
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,311.7369391968287
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,542.3008398084922
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,306.3147039064381
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,503.8592279623583
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,292.09090542477645
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,468.93733470467237
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,278.4662544122721
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,443.48875215250126
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,355.67807295455657
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,439.78819604486296
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,339.954016941733
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,432.13982122513363
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,312.02182844499697
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,426.71252341277534
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,270.77777758834395
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,413.47156018211746
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,268.76082595384423
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,398.82656183358984
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,257.78982571148657
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,371.0098146901464
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,245.15928577539526
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,322.49575606905313
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,271.3943614450403
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,320.5460589673309
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,259.5932681608647
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,310.84097463580565
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,246.78261362187885
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,293.5921445748014
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,220.36850137456858
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,310.91513021710875
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,218.92977863524797
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,297.60601612611345
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,214.64586694613186
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,274.59090209359607
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,209.27697112768686
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,241.55634582480621
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,221.42177715870446
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,241.81168995056194
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,217.28252609154316
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,245.26525058583414
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,210.972019837393
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,238.5291055653053
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,195.61574397961684
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,243.85586533403472
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,195.74181772456316
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,226.98700119203042
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,185.91442470424437
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,219.986988108577
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,181.47751038702853
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,204.0004674420819
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,193.8346928538424
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,205.51957185294995
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,190.94350053895786
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,199.1340834975013
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,187.58359627120586
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,201.4499791259256
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,172.87774168381895
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,200.14821877437805
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,173.12044249650714
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,180.70067347936012
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,166.23273276337
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,159.93604984832336
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,163.22286613829132
