cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,total_energy_based_j_per_token
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,0.023500066121419274
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,0.040196908319304156
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,0.02354064432779948
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,0.0448390697337963
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,0.024110575358072917
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.055966385030864194
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,0.023600402832031252
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.08064080729166667
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,0.02401788330078125
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.14394004050925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,0.023693759494357636
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.25068399305555555
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,0.023686130099826386
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.46449430555555554
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.022789148966471356
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,0.03442653001137102
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.022479746500651043
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,0.03708482499201788
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.022559071858723957
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.046096139913768736
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.02266893513997396
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.06756125
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.02249171549479167
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.12032110449735449
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,0.021350870768229165
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.21077449735449735
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,0.020778564453125
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.38860481481481485
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.020565897623697916
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,0.031108546804138323
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.020382883707682292
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,0.034155673225308644
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.020064890543619793
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.04124258019179894
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.020162322998046874
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.061274232253086425
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.019677164713541667
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.11081489969135803
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.019447627314814815
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.1973500462962963
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,0.018936288339120373
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.3626185802469136
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.017682579040527346
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,0.02795771228545619
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.01760681660970052
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,0.030486507803166068
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.017104095458984375
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.03754557599487786
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.016393900553385417
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.05755872222222222
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.01752018229166667
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.10422962962962962
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.01720707775297619
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.19192003703703706
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,0.016589867001488096
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.3618274814814815
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016479652404785158
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.027075038580246912
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.01656871541341146
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.030692728587962962
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016502960205078125
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.039323491512345675
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016314921061197914
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.06264225224605793
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.0169764404296875
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.11416612807114046
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016271280924479166
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.20443598734873486
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,0.016510362413194445
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.38621452145214524
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,0.017979896545410157
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,0.031195326967592592
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,0.017910939534505208
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,0.035306075246710526
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,0.018200276692708333
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,0.04238709186159844
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,0.018652730305989584
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,0.06437124984770955
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,0.018791585286458332
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,0.11708949348196881
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,0.017304280598958333
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,0.21091815911306042
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,0.01587516276041667
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,0.4004448708576998
