model_name,batch_size,best_sm_clock_base,min_energy_per_token_base,best_sm_clock_power_based,min_energy_per_token_power_based
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,8,930,0.0,1230,0.22992176783333335
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,16,1830,0.11472354166666666,1830,0.11755566464930554
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,64,922,0.0042825,1830,0.03743277747864584
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,128,915,0.021849296875,1522,0.025940684461538462
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,256,1800,0.0009699497767857142,1522,0.020773798110119045
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,512,930,0.017963260135135134,1530,0.018850333980840777
meta-llama/Llama-3.1-8B-Instruct,16,1830,0.19576666666666667,1830,0.19931299583622683
meta-llama/Llama-3.1-8B-Instruct,64,930,0.056858958333333334,1830,0.05744442376215277
meta-llama/Llama-3.1-8B-Instruct,128,930,0.021871744791666665,1530,0.036796844105902775
meta-llama/Llama-3.1-8B-Instruct,256,922,0.002904296875,1522,0.028574392382291668
meta-llama/Llama-3.1-8B-Instruct,512,1530,0.011999088541666668,1530,0.025025249334309895
