cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,512,512,2.6632,1,27,,,,,1773732311.0279107,157.627,34,630,630,12481,89760.25,97887.0,100,22,1981843232,1773732311022498,0,,0,0,53661495550,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,2,27,,,,,1773732311.0870318,157.627,34,630,630,12481,89760.25,97887.0,100,22,1981843232,1773732311078891,0,,0,0,53661495550,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,3,27,,,,,1773732311.1928692,157.994,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311188511,0,,0,0,53661510995,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,4,27,,,,,1773732311.298462,158.817,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311293779,0,,0,0,53661527254,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,5,27,,,,,1773732311.4040744,158.782,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311399348,0,,0,0,53661543509,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,6,27,,,,,1773732311.5095918,158.896,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311505034,0,,0,0,53661576052,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,7,27,,,,,1773732311.61538,159.48,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311610382,0,,0,0,53661592291,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,8,27,,,,,1773732311.7227194,164.699,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311716479,0,,0,0,53661608635,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,9,27,,,,,1773732311.82833,164.816,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311823606,0,,0,0,53661624903,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,10,27,,,,,1773732311.9339726,165.148,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732311929373,0,,0,0,53661641152,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
FULL,False,512,512,2.6632,11,27,,,,,1773732312.0425222,165.961,34,630,630,12481,89760.25,97887.0,100,28,1981843232,1773732312034789,0,,0,0,53661657372,,267,nvidia/Llama-3.1-8B-Instruct-NVFP4,seg,50,256
