cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,512,512,1.8024,1,19,,,,,1773974676.9642522,562.851,45,2392,2392,12481,90772.25,97887.0,100,50,1063234912,1773974676960531,0,,0,0,6127331673,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,2,19,,,,,1773974677.068958,555.043,44,2392,2392,12481,90772.25,97887.0,96,54,1063234912,1773974677061438,0,,0,0,6127378915,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,3,19,,,,,1773974677.1740294,539.067,44,2370,2370,12481,90772.25,97887.0,100,56,1063234912,1773974677169768,0,,0,0,6127426530,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,4,19,,,,,1773974677.2788415,530.63,44,2370,2370,12481,90772.25,97887.0,100,56,1063234912,1773974677274813,0,,0,0,6127473966,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,5,19,,,,,1773974677.3837593,521.005,44,2370,2370,12481,90772.25,97887.0,100,56,1063234912,1773974677379788,0,,0,0,6127521497,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,6,19,,,,,1773974677.4888453,511.75,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974677484523,0,,0,0,6127568906,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,7,19,,,,,1773974677.59392,495.951,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974677589654,0,,0,0,6127616415,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,8,19,,,,,1773974677.6989727,494.068,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974677694678,0,,0,0,6127663855,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,9,19,,,,,1773974677.8038561,484.499,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974677799755,0,,0,0,6127711449,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,10,19,,,,,1773974677.9087343,475.461,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974677904766,0,,0,0,6127758915,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,11,19,,,,,1773974678.0135016,476.004,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678009506,0,,0,0,6127806426,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,12,19,,,,,1773974678.1184318,475.171,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678114431,0,,0,0,6127853919,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,13,19,,,,,1773974678.2234006,475.204,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678219188,0,,0,0,6127901440,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,14,19,,,,,1773974678.3288174,475.22,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678324191,0,,0,0,6127948981,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,15,19,,,,,1773974678.433749,475.267,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678429759,0,,0,0,6127996534,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,16,19,,,,,1773974678.5388095,475.205,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678534530,0,,0,0,6128044093,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,17,19,,,,,1773974678.643614,475.284,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678639575,0,,0,0,6128091770,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,18,19,,,,,1773974678.748996,475.394,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678744536,0,,0,0,6128139439,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.8024,19,19,,,,,1773974678.7698827,475.394,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678767324,0,,0,0,6128186747,,266,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,1,19,,,,,1773974678.9587157,475.449,44,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974678956464,0,,0,0,6128280207,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,2,19,,,,,1773974679.0539896,475.585,44,2392,2392,12481,90772.25,97887.0,97,54,1063234912,1773974679049977,0,,0,0,6128280207,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,3,19,,,,,1773974679.158915,475.581,44,2392,2392,12481,90772.25,97887.0,97,54,1063234912,1773974679154727,0,,0,0,6128374560,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,4,19,,,,,1773974679.2637923,475.782,45,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974679259852,0,,0,0,6128422168,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,5,19,,,,,1773974679.3689885,475.782,45,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974679364576,0,,0,0,6128469805,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,6,19,,,,,1773974679.4742062,475.825,45,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974679469697,0,,0,0,6128517349,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,7,19,,,,,1773974679.5789616,476.229,45,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974679575008,0,,0,0,6128564956,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,8,19,,,,,1773974679.6836922,476.142,45,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974679679751,0,,0,0,6128612618,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
FULL,False,512,512,1.7924,9,19,,,,,1773974679.7889004,476.171,45,2392,2392,12481,90772.25,97887.0,100,56,1063234912,1773974679784477,0,,0,0,6128660228,,267,nvidia/Qwen3-8B-NVFP4,seg,100,256
