model_name,batch_size,best_sm_clock_base,min_energy_per_token_base,best_sm_clock_power_based,min_energy_per_token_power_based
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,8,922,0.0,1230,0.22973271675555557
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,16,1830,0.11619493055555556,1830,0.117280094864899
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,64,922,0.0007142083333333334,1830,0.03733368593030303
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,128,1522,0.02588921875,1522,0.02586356827069257
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,256,1807,0.0003251209077380952,1522,0.020762708194963727
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,512,1530,0.018559626736111112,1530,0.018694414832977208
meta-llama/Llama-3.1-8B-Instruct,8,1830,0.3711675,1830,0.37591592567401955
meta-llama/Llama-3.1-8B-Instruct,16,1830,0.19938796296296296,1830,0.19991731614583336
meta-llama/Llama-3.1-8B-Instruct,64,1830,0.05691909722222222,1830,0.05744770025134408
meta-llama/Llama-3.1-8B-Instruct,128,1530,0.036470117187500005,1530,0.036697046982849334
meta-llama/Llama-3.1-8B-Instruct,256,1522,0.0006763151041666668,1522,0.027416982688802084
meta-llama/Llama-3.1-8B-Instruct,512,1530,0.02516784939236111,1530,0.02505897219058258
nvidia/Llama-3.1-8B-Instruct-NVFP4,8,1530,0.21958660714285716,1230,0.22111510507412918
nvidia/Llama-3.1-8B-Instruct-NVFP4,16,1230,0.11557619047619049,1230,0.11588974249837662
nvidia/Llama-3.1-8B-Instruct-NVFP4,64,930,0.0005622916666666667,1230,0.034548838152777775
nvidia/Llama-3.1-8B-Instruct-NVFP4,128,1230,0.021263919270833334,1230,0.021428670272022193
nvidia/Llama-3.1-8B-Instruct-NVFP4,256,1522,0.016464505208333334,1522,0.016467306230729166
nvidia/Llama-3.1-8B-Instruct-NVFP4,512,922,0.000502265625,1530,0.014531194254557291
