batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J
512,330,256,Qwen/Qwen3-8B,266,2088797,46080,18.8758,90,110.973021978022,2094.704568252748
512,330,256,Qwen/Qwen3-8B,267,2089942,46080,18.88,90,111.10315384615386,2097.6275446153845
512,330,256,Qwen/Qwen3-8B,268,2091143,46080,18.8851,90,110.95062637362636,2095.313674128571
512,330,256,Qwen/Qwen3-8B,269,2092594,46080,18.8835,90,110.8744175824176,2093.697064417583
512,330,256,Qwen/Qwen3-8B,270,2094505,46080,18.8848,90,110.97361538461539,2095.7145318153844
512,330,256,Qwen/Qwen3-8B,271,2095665,46080,18.8863,90,111.10932967032967,2098.444132952747
512,330,256,Qwen/Qwen3-8B,272,2096231,46080,18.8928,90,111.16420879120878,2100.203163850549
512,330,256,Qwen/Qwen3-8B,273,2098894,46080,18.8849,90,111.41493406593406,2104.059888341758
512,330,256,Qwen/Qwen3-8B,274,2097332,46080,18.8882,90,111.22142857142856,2100.772587142857
512,330,256,Qwen/Qwen3-8B,275,2099074,46080,18.894,90,111.2429120879121,2101.823580989011
512,330,256,Qwen/Qwen3-8B,276,2099401,46080,18.8945,90,111.05443956043956,2098.3181082747255
512,330,256,Qwen/Qwen3-8B,277,2100109,46080,18.8962,90,111.20056043956046,2101.2680301780224
512,330,256,Qwen/Qwen3-8B,278,2101153,46080,18.8957,90,111.21969230769231,2101.573939938462
512,330,256,Qwen/Qwen3-8B,279,2112659,46080,18.8986,90,111.36783516483514,2104.696169646153
512,330,256,Qwen/Qwen3-8B,280,2102224,46080,18.901,90,111.1942087912088,2101.6817403626374
512,330,256,Qwen/Qwen3-8B,281,2103288,46080,18.9006,90,111.39138461538461,2105.3640040615383
512,330,256,Qwen/Qwen3-8B,282,2106296,46080,18.9026,90,111.4526923076923,2106.7456616153845
512,330,256,Qwen/Qwen3-8B,283,2109408,46080,18.9096,90,111.67804395604395,2111.7871399912087
512,330,256,Qwen/Qwen3-8B,284,2110325,46080,18.9058,90,111.88970329670329,2115.364352586813
512,330,256,Qwen/Qwen3-8B,285,2123043,46080,18.9109,90,111.81703296703296,2114.5607287362636
512,330,256,Qwen/Qwen3-8B,286,2113873,46080,18.9135,90,111.94616483516484,2117.29378860989
512,330,256,Qwen/Qwen3-8B,287,2116006,46080,18.9147,90,112.15769230769232,2121.429102692308
512,330,256,Qwen/Qwen3-8B,288,2128909,46080,18.9183,90,112.1653406593407,2121.977564195605
512,330,256,Qwen/Qwen3-8B,289,2119559,46080,18.9202,90,112.26278021978024,2124.034254314286
512,330,256,Qwen/Qwen3-8B,290,2121494,46080,18.921,90,112.31293406593406,2125.0730254615382
512,330,256,Qwen/Qwen3-8B,291,2137502,46080,18.9086,90,112.58410869565215,2128.8078776826083
512,330,256,Qwen/Qwen3-8B,292,2127971,46080,18.915,90,112.67425274725275,2131.233490714286
512,330,256,Qwen/Qwen3-8B,293,2129263,46080,18.9106,90,112.82767032967034,2133.6389425362636
512,330,256,Qwen/Qwen3-8B,294,2129629,46080,18.9142,90,112.86027472527472,2134.661808208791
512,330,256,Qwen/Qwen3-8B,295,2132594,46080,18.916,90,112.88312087912088,2135.2971145494507
512,330,256,Qwen/Qwen3-8B,296,2133526,46080,18.9207,90,112.96839130434782,2137.4410413521737
512,330,256,Qwen/Qwen3-8B,297,2144502,46080,18.923,90,112.84551648351648,2135.3757084175822
512,330,256,Qwen/Qwen3-8B,298,2132543,46080,18.9203,90,112.96871428571431,2137.4019649000006
512,330,256,Qwen/Qwen3-8B,299,2132114,46080,18.9252,90,112.92347252747253,2137.099302276923
512,330,256,Qwen/Qwen3-8B,300,2142932,46080,18.9263,90,112.8956956521739,2136.697804621739
512,330,256,Qwen/Qwen3-8B,301,2131508,46080,18.9316,90,112.78814285714287,2135.260005314286
512,330,256,Qwen/Qwen3-8B,302,2142944,46080,18.9333,90,112.88176086956521,2137.224243071739
256,330,256,Qwen/Qwen3-8B,260,1944514,38400,17.5602,150,110.48167857142856,1940.0803720499996
256,330,256,Qwen/Qwen3-8B,261,1944172,38400,17.5703,150,110.62521176470587,1943.7181582694113
256,330,256,Qwen/Qwen3-8B,262,1944886,38400,17.5631,150,110.58166666666665,1942.1568698333328
256,330,256,Qwen/Qwen3-8B,263,1944607,38400,17.5617,150,110.64269411764707,1943.0738012858824
256,330,256,Qwen/Qwen3-8B,264,1934766,38400,17.5593,150,110.48890476190478,1940.1078253857147
256,330,256,Qwen/Qwen3-8B,265,1946237,38400,17.5623,150,110.62014285714287,1942.7441349000003
256,330,256,Qwen/Qwen3-8B,266,1947135,38400,17.5676,150,110.61838095238095,1943.2994692190473
256,330,256,Qwen/Qwen3-8B,267,1946440,38400,17.5633,150,110.73055952380955,1944.7940360845244
256,330,256,Qwen/Qwen3-8B,268,1948120,38400,17.5522,150,110.83215476190476,1945.3481468119046
256,330,256,Qwen/Qwen3-8B,269,1937172,38400,17.5668,150,110.65622619047619,1943.8757942428572
256,330,256,Qwen/Qwen3-8B,270,1949772,38400,17.5765,150,110.57940476190481,1943.5989077976199
256,330,256,Qwen/Qwen3-8B,271,1949816,38400,17.5621,150,110.90761904761906,1947.7706964761908
256,330,256,Qwen/Qwen3-8B,272,1950734,38400,17.5595,150,110.98416666666665,1948.826474583333
256,330,256,Qwen/Qwen3-8B,273,1949973,38400,17.5654,150,111.02998809523812,1950.2861528880958
256,330,256,Qwen/Qwen3-8B,274,1941141,38400,17.5662,150,110.92308333333332,1948.4970664499997
256,330,256,Qwen/Qwen3-8B,275,1950456,38400,17.5701,150,110.9812738095238,1949.952078960714
256,330,256,Qwen/Qwen3-8B,276,1952817,38400,17.5726,150,111.21162352941175,1954.2773756329411
256,330,256,Qwen/Qwen3-8B,277,1953489,38400,17.5786,150,111.14311764705882,1953.7404078705883
256,330,256,Qwen/Qwen3-8B,278,1956231,38400,17.5807,150,111.11249411764706,1953.4354253341178
256,330,256,Qwen/Qwen3-8B,279,1955633,38400,17.5715,150,111.12380000000002,1952.6118517000004
256,330,256,Qwen/Qwen3-8B,280,1944654,38400,17.5733,150,111.33791666666667,1956.5746109583333
256,330,256,Qwen/Qwen3-8B,281,1956735,38400,17.581,150,111.27209523809526,1956.2747063809527
256,330,256,Qwen/Qwen3-8B,282,1958819,38400,17.5847,150,111.20663529411769,1955.5353196564715
256,330,256,Qwen/Qwen3-8B,283,1959505,38400,17.5744,150,111.3844705882353,1957.5152399058825
256,330,256,Qwen/Qwen3-8B,284,1958466,38400,17.58,150,111.36774117647059,1957.8448898823528
256,330,256,Qwen/Qwen3-8B,285,1959606,38400,17.5767,150,111.47167857142858,1959.3042527464286
256,330,256,Qwen/Qwen3-8B,286,1958858,38400,17.5837,150,111.30270588235294,1957.1133894235295
256,330,256,Qwen/Qwen3-8B,287,1960204,38400,17.5863,150,111.62765882352944,1963.117496368236
256,330,256,Qwen/Qwen3-8B,288,1960038,38400,17.5879,150,111.48373809523807,1960.7648372452377
