batch_size,sm_clock,input_len,model_name,latency_sec_per_token
512,330,256,Qwen/Qwen3-8B,0.0004102755489864865
256,330,256,Qwen/Qwen3-8B,0.0004579017684108527
128,330,256,Qwen/Qwen3-8B,0.0005136402107007576
64,330,256,Qwen/Qwen3-8B,0.0006444158950617284
16,330,256,Qwen/Qwen3-8B,0.002227781378600823
8,330,256,Qwen/Qwen3-8B,0.004183042572463768
512,630,256,Qwen/Qwen3-8B,0.000221312003968254
256,630,256,Qwen/Qwen3-8B,0.0002496197311046512
128,630,256,Qwen/Qwen3-8B,0.0002824266098484848
64,630,256,Qwen/Qwen3-8B,0.00042622064393939394
16,630,256,Qwen/Qwen3-8B,0.001417311728395062
8,630,256,Qwen/Qwen3-8B,0.0027305353260869566
512,930,256,Qwen/Qwen3-8B,0.00016235553075396824
256,922,256,Qwen/Qwen3-8B,0.00018637695312500002
128,930,256,Qwen/Qwen3-8B,0.00022457980054909558
64,930,256,Qwen/Qwen3-8B,0.0003750482954545455
16,930,256,Qwen/Qwen3-8B,0.0012776244855967076
8,930,256,Qwen/Qwen3-8B,0.0024742445652173916
512,1230,256,Qwen/Qwen3-8B,0.0001289060647442412
256,1230,256,Qwen/Qwen3-8B,0.0001456940414186508
128,1230,256,Qwen/Qwen3-8B,0.00018597842982881138
64,1230,256,Qwen/Qwen3-8B,0.00031987578914141417
16,1230,256,Qwen/Qwen3-8B,0.0010981666666666666
8,1230,256,Qwen/Qwen3-8B,0.002123425
512,1522,256,Qwen/Qwen3-8B,0.00010463063123219372
256,1515,256,Qwen/Qwen3-8B,0.00011884575076219512
128,1530,256,Qwen/Qwen3-8B,0.0001516740855135659
64,1530,256,Qwen/Qwen3-8B,0.0002601720328282827
16,1530,256,Qwen/Qwen3-8B,0.0008911093106995886
8,1530,256,Qwen/Qwen3-8B,0.001722676630434782
512,1815,256,Qwen/Qwen3-8B,8.992527488425925e-05
256,1800,256,Qwen/Qwen3-8B,0.00010170515752032521
128,1822,256,Qwen/Qwen3-8B,0.0001332798859126984
64,1830,256,Qwen/Qwen3-8B,0.00022516392118863052
16,1830,256,Qwen/Qwen3-8B,0.0007617965534979425
8,1830,256,Qwen/Qwen3-8B,0.0014692323369565217
