batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
512,330,256,Qwen/Qwen3-8B,111.89835878927182
256,330,256,Qwen/Qwen3-8B,111.30866410657286
128,330,256,Qwen/Qwen3-8B,118.20616901088928
64,330,256,Qwen/Qwen3-8B,124.7711007622115
16,330,256,Qwen/Qwen3-8B,121.46194904452328
8,330,256,Qwen/Qwen3-8B,120.38062511091393
512,630,256,Qwen/Qwen3-8B,155.74581119533528
256,630,256,Qwen/Qwen3-8B,154.63377288471054
128,630,256,Qwen/Qwen3-8B,163.44365909090908
64,630,256,Qwen/Qwen3-8B,157.35134545454545
16,630,256,Qwen/Qwen3-8B,154.17829135005974
8,630,256,Qwen/Qwen3-8B,150.37918904397236
512,930,256,Qwen/Qwen3-8B,194.01144101244103
256,922,256,Qwen/Qwen3-8B,190.9533104017893
128,930,256,Qwen/Qwen3-8B,188.54389502683364
64,930,256,Qwen/Qwen3-8B,172.8678592009842
16,930,256,Qwen/Qwen3-8B,167.3545390946502
8,930,256,Qwen/Qwen3-8B,162.62146626686658
512,1230,256,Qwen/Qwen3-8B,237.70400081861098
256,1230,256,Qwen/Qwen3-8B,233.3240529943036
128,1230,256,Qwen/Qwen3-8B,224.57492524916944
64,1230,256,Qwen/Qwen3-8B,199.43635051893136
16,1230,256,Qwen/Qwen3-8B,190.83542048309178
8,1230,256,Qwen/Qwen3-8B,185.3443434334845
512,1522,256,Qwen/Qwen3-8B,277.40658618943445
256,1515,256,Qwen/Qwen3-8B,277.7606554893556
128,1530,256,Qwen/Qwen3-8B,268.2187903068204
64,1530,256,Qwen/Qwen3-8B,249.6678926426426
16,1530,256,Qwen/Qwen3-8B,234.9230931879247
8,1530,256,Qwen/Qwen3-8B,227.77337929480382
512,1815,256,Qwen/Qwen3-8B,353.3606501573103
256,1800,256,Qwen/Qwen3-8B,339.9343848976333
128,1822,256,Qwen/Qwen3-8B,313.1231445437386
64,1830,256,Qwen/Qwen3-8B,289.6867823049512
16,1830,256,Qwen/Qwen3-8B,268.5601635521885
8,1830,256,Qwen/Qwen3-8B,267.68750000000006
512,2092,256,Qwen/Qwen3-8B,429.30369438061535
256,2085,256,Qwen/Qwen3-8B,407.85863077816487
128,2130,256,Qwen/Qwen3-8B,362.07002055086406
64,2130,256,Qwen/Qwen3-8B,312.8317477517107
16,2130,256,Qwen/Qwen3-8B,296.5370573476702
8,2130,256,Qwen/Qwen3-8B,298.0946731767806
512,2355,256,Qwen/Qwen3-8B,543.6052969774234
256,2370,256,Qwen/Qwen3-8B,519.886609560454
128,2422,256,Qwen/Qwen3-8B,451.3643074011774
64,2422,256,Qwen/Qwen3-8B,381.0397333333333
16,2422,256,Qwen/Qwen3-8B,357.58492074074076
8,2422,256,Qwen/Qwen3-8B,340.8499813762626
512,330,256,nvidia/Qwen3-8B-NVFP4,118.44635371385371
256,330,256,nvidia/Qwen3-8B-NVFP4,107.65747554511343
128,330,256,nvidia/Qwen3-8B-NVFP4,94.34409882019389
64,330,256,nvidia/Qwen3-8B-NVFP4,86.90136072872872
16,330,256,nvidia/Qwen3-8B-NVFP4,78.9949421039345
8,330,256,nvidia/Qwen3-8B-NVFP4,77.4140649647835
512,630,256,nvidia/Qwen3-8B-NVFP4,161.28407439540038
256,630,256,nvidia/Qwen3-8B-NVFP4,144.58961204994193
