batch_size,sm_clock,input_len,model_name,power_based_j_per_token
512,330,256,Qwen/Qwen3-8B,0.04590938652567642
256,330,256,Qwen/Qwen3-8B,0.05096873634668361
128,330,256,Qwen/Qwen3-8B,0.06071567965694258
64,330,256,Qwen/Qwen3-8B,0.08040338354958043
16,330,256,Qwen/Qwen3-8B,0.2705899602061693
8,330,256,Qwen/Qwen3-8B,0.5035549293550909
512,630,256,Qwen/Qwen3-8B,0.03446859881517501
256,630,256,Qwen/Qwen3-8B,0.038599868381085506
128,630,256,Qwen/Qwen3-8B,0.046161003897123035
64,630,256,Qwen/Qwen3-8B,0.06706646660351957
16,630,256,Qwen/Qwen3-8B,0.21851872535643505
8,630,256,Qwen/Qwen3-8B,0.4106154266529391
512,930,256,Qwen/Qwen3-8B,0.03149964428238743
256,922,256,Qwen/Qwen3-8B,0.03558922398154442
128,930,256,Qwen/Qwen3-8B,0.04234314852048813
64,930,256,Qwen/Qwen3-8B,0.06483416187198147
16,930,256,Qwen/Qwen3-8B,0.21381625629149517
8,930,256,Qwen/Qwen3-8B,0.4023649598681909
512,1230,256,Qwen/Qwen3-8B,0.03064192415696073
256,1230,256,Qwen/Qwen3-8B,0.03399320718107534
128,1230,256,Qwen/Qwen3-8B,0.04176664160493291
64,1230,256,Qwen/Qwen3-8B,0.0637948055442504
16,1230,256,Qwen/Qwen3-8B,0.20956933084888676
8,1230,256,Qwen/Qwen3-8B,0.3935647944774933
512,1522,256,Qwen/Qwen3-8B,0.029020040812531518
256,1515,256,Qwen/Qwen3-8B,0.0330121333452158
128,1530,256,Qwen/Qwen3-8B,0.04067725028644158
64,1530,256,Qwen/Qwen3-8B,0.06495649932773374
16,1530,256,Qwen/Qwen3-8B,0.2093424740844331
8,1530,256,Qwen/Qwen3-8B,0.3923792564697345
512,1815,256,Qwen/Qwen3-8B,0.03177575985582948
256,1800,256,Qwen/Qwen3-8B,0.0345729151620595
128,1822,256,Qwen/Qwen3-8B,0.04173249319529119
64,1830,256,Qwen/Qwen3-8B,0.065225052910135
16,1830,256,Qwen/Qwen3-8B,0.20458799093735383
8,1830,256,Qwen/Qwen3-8B,0.3932949599457557
512,2092,256,Qwen/Qwen3-8B,0.03471145397621537
256,2085,256,Qwen/Qwen3-8B,0.03760268737113685
128,2130,256,Qwen/Qwen3-8B,0.04547315228898658
64,2130,256,Qwen/Qwen3-8B,0.06727553741117162
16,2130,256,Qwen/Qwen3-8B,0.21241708108191457
8,2130,256,Qwen/Qwen3-8B,0.41218642430384655
512,2355,256,Qwen/Qwen3-8B,0.041019893761111446
256,2370,256,Qwen/Qwen3-8B,0.0452269291350178
128,2422,256,Qwen/Qwen3-8B,0.055111490108598456
64,2422,256,Qwen/Qwen3-8B,0.08002921644051979
16,2422,256,Qwen/Qwen3-8B,0.2497010040285751
8,2422,256,Qwen/Qwen3-8B,0.46138068310596886
512,330,256,nvidia/Qwen3-8B-NVFP4,0.024637035636638115
256,330,256,nvidia/Qwen3-8B-NVFP4,0.027960206695890007
128,330,256,nvidia/Qwen3-8B-NVFP4,0.03577756789267049
64,330,256,nvidia/Qwen3-8B-NVFP4,0.056235495397651554
16,330,256,nvidia/Qwen3-8B-NVFP4,0.19065187425372554
8,330,256,nvidia/Qwen3-8B-NVFP4,0.36305547352799783
512,630,256,nvidia/Qwen3-8B-NVFP4,0.018548830757474526
256,630,256,nvidia/Qwen3-8B-NVFP4,0.020846828127669144
128,630,256,nvidia/Qwen3-8B-NVFP4,0.026197157011599997
64,630,256,nvidia/Qwen3-8B-NVFP4,0.04181437800132826
16,630,256,nvidia/Qwen3-8B-NVFP4,0.14119958809439026
8,630,256,nvidia/Qwen3-8B-NVFP4,0.27065192014655287
512,930,256,nvidia/Qwen3-8B-NVFP4,0.01710705452444298
256,930,256,nvidia/Qwen3-8B-NVFP4,0.01935057097057168
128,930,256,nvidia/Qwen3-8B-NVFP4,0.023960993430119613
64,930,256,nvidia/Qwen3-8B-NVFP4,0.038043919400982854
16,930,256,nvidia/Qwen3-8B-NVFP4,0.12706120980926783
8,930,256,nvidia/Qwen3-8B-NVFP4,0.2466663353132388
512,1230,256,nvidia/Qwen3-8B-NVFP4,0.017079820826028703
256,1230,256,nvidia/Qwen3-8B-NVFP4,0.018789633330152062
128,1230,256,nvidia/Qwen3-8B-NVFP4,0.022921221441095506
64,1230,256,nvidia/Qwen3-8B-NVFP4,0.03615270134456626
16,1230,256,nvidia/Qwen3-8B-NVFP4,0.1177966200131073
8,1230,256,nvidia/Qwen3-8B-NVFP4,0.22471870800246488
512,1530,256,nvidia/Qwen3-8B-NVFP4,0.01743636339885075
256,1522,256,nvidia/Qwen3-8B-NVFP4,0.019554426928072632
128,1522,256,nvidia/Qwen3-8B-NVFP4,0.023480279324794524
64,1530,256,nvidia/Qwen3-8B-NVFP4,0.036372649465214256
16,1530,256,nvidia/Qwen3-8B-NVFP4,0.11880732981550676
8,1530,256,nvidia/Qwen3-8B-NVFP4,0.22621146885950202
512,1815,256,nvidia/Qwen3-8B-NVFP4,0.01728965902008526
256,1815,256,nvidia/Qwen3-8B-NVFP4,0.019266632608780386
128,1815,256,nvidia/Qwen3-8B-NVFP4,0.0240975914652711
64,1822,256,nvidia/Qwen3-8B-NVFP4,0.03713154795533586
16,1830,256,nvidia/Qwen3-8B-NVFP4,0.1192494791794746
8,1830,256,nvidia/Qwen3-8B-NVFP4,0.22702989946135804
512,2115,256,nvidia/Qwen3-8B-NVFP4,0.018896486966680358
256,2107,256,nvidia/Qwen3-8B-NVFP4,0.020430575781028464
128,2115,256,nvidia/Qwen3-8B-NVFP4,0.025356856742504638
64,2122,256,nvidia/Qwen3-8B-NVFP4,0.040554858191202844
16,2130,256,nvidia/Qwen3-8B-NVFP4,0.13192537738453805
8,2130,256,nvidia/Qwen3-8B-NVFP4,0.24989436309351534
512,2407,256,nvidia/Qwen3-8B-NVFP4,0.022707858555126068
256,2407,256,nvidia/Qwen3-8B-NVFP4,0.024355293385986587
128,2415,256,nvidia/Qwen3-8B-NVFP4,0.028245052378170737
64,2422,256,nvidia/Qwen3-8B-NVFP4,0.041860678016550724
16,2422,256,nvidia/Qwen3-8B-NVFP4,0.13438520731130826
8,2295,256,nvidia/Qwen3-8B-NVFP4,0.2745895865494367
