batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
512,330,256,Qwen/Qwen3-8B,111.83498464768005
256,330,256,Qwen/Qwen3-8B,111.28278159376814
128,330,256,Qwen/Qwen3-8B,118.1118953639843
64,330,256,Qwen/Qwen3-8B,124.7441541351808
16,330,256,Qwen/Qwen3-8B,121.64566557687748
8,330,256,Qwen/Qwen3-8B,120.26964458598478
512,630,256,Qwen/Qwen3-8B,155.78406157662147
256,630,256,Qwen/Qwen3-8B,154.58580529832076
128,630,256,Qwen/Qwen3-8B,163.43947947838868
64,630,256,Qwen/Qwen3-8B,157.23232516235677
16,630,256,Qwen/Qwen3-8B,153.79896372530442
8,630,256,Qwen/Qwen3-8B,150.30438104223205
512,930,256,Qwen/Qwen3-8B,193.93657046544993
256,922,256,Qwen/Qwen3-8B,190.94601927051494
128,930,256,Qwen/Qwen3-8B,188.55431363392643
64,930,256,Qwen/Qwen3-8B,172.81466275807915
16,930,256,Qwen/Qwen3-8B,167.34793062935896
8,930,256,Qwen/Qwen3-8B,162.58486889937856
512,1230,256,Qwen/Qwen3-8B,237.63200776547063
256,1230,256,Qwen/Qwen3-8B,233.18447445657597
128,1230,256,Qwen/Qwen3-8B,224.76628410298795
64,1230,256,Qwen/Qwen3-8B,199.47664541900681
16,1230,256,Qwen/Qwen3-8B,190.8465802525346
8,1230,256,Qwen/Qwen3-8B,185.31157515875603
512,1522,256,Qwen/Qwen3-8B,277.12090858132956
256,1515,256,Qwen/Qwen3-8B,278.2772448937327
128,1530,256,Qwen/Qwen3-8B,268.1907483734737
64,1530,256,Qwen/Qwen3-8B,249.87909248081542
16,1530,256,Qwen/Qwen3-8B,234.9815752490956
8,1530,256,Qwen/Qwen3-8B,227.6106891502155
512,1815,256,Qwen/Qwen3-8B,353.6898241289909
256,1800,256,Qwen/Qwen3-8B,340.0192756141155
128,1822,256,Qwen/Qwen3-8B,312.7940143416865
64,1830,256,Qwen/Qwen3-8B,289.416187603777
16,1830,256,Qwen/Qwen3-8B,268.6654658466878
8,1830,256,Qwen/Qwen3-8B,267.49208785890545
512,2092,256,Qwen/Qwen3-8B,429.84597221223373
256,2085,256,Qwen/Qwen3-8B,408.12772781930494
128,2130,256,Qwen/Qwen3-8B,361.855153040612
64,2130,256,Qwen/Qwen3-8B,312.00685098645766
16,2130,256,Qwen/Qwen3-8B,296.300563900663
8,2130,256,Qwen/Qwen3-8B,297.56856628532796
512,2355,256,Qwen/Qwen3-8B,544.3214468367224
256,2370,256,Qwen/Qwen3-8B,519.4825569064751
128,2422,256,Qwen/Qwen3-8B,450.8477978816974
64,2422,256,Qwen/Qwen3-8B,381.4077944035844
16,2422,256,Qwen/Qwen3-8B,357.67903150774794
8,2422,256,Qwen/Qwen3-8B,340.7213884575658
512,330,256,nvidia/Qwen3-8B-NVFP4,118.44863364189756
256,330,256,nvidia/Qwen3-8B-NVFP4,107.7071041907663
128,330,256,nvidia/Qwen3-8B-NVFP4,94.30677885526303
64,330,256,nvidia/Qwen3-8B-NVFP4,86.8707921397711
16,330,256,nvidia/Qwen3-8B-NVFP4,78.92954263914383
8,330,256,nvidia/Qwen3-8B-NVFP4,77.3894290668586
512,630,256,nvidia/Qwen3-8B-NVFP4,161.25341144976846
256,630,256,nvidia/Qwen3-8B-NVFP4,144.51674747873236
128,630,256,nvidia/Qwen3-8B-NVFP4,125.24045256549432
64,630,256,nvidia/Qwen3-8B-NVFP4,113.45131451228139
16,630,256,nvidia/Qwen3-8B-NVFP4,100.30848838903432
8,630,256,nvidia/Qwen3-8B-NVFP4,98.265114060019
512,930,256,nvidia/Qwen3-8B-NVFP4,188.64487602650445
256,930,256,nvidia/Qwen3-8B-NVFP4,168.88758396905988
128,930,256,nvidia/Qwen3-8B-NVFP4,145.5443246808362
64,930,256,nvidia/Qwen3-8B-NVFP4,131.25011883165695
16,930,256,nvidia/Qwen3-8B-NVFP4,115.2560282595913
8,930,256,nvidia/Qwen3-8B-NVFP4,111.96271363964875
512,1230,256,nvidia/Qwen3-8B-NVFP4,224.62354446607984
256,1230,256,nvidia/Qwen3-8B-NVFP4,202.38800150672049
128,1230,256,nvidia/Qwen3-8B-NVFP4,172.53235975992894
64,1230,256,nvidia/Qwen3-8B-NVFP4,156.87512936381268
16,1230,256,nvidia/Qwen3-8B-NVFP4,135.67125593653478
8,1230,256,nvidia/Qwen3-8B-NVFP4,131.20894419858
512,1530,256,nvidia/Qwen3-8B-NVFP4,280.2858824771208
256,1522,256,nvidia/Qwen3-8B-NVFP4,256.97900955092416
128,1522,256,nvidia/Qwen3-8B-NVFP4,215.6256908023848
64,1530,256,nvidia/Qwen3-8B-NVFP4,192.4987388137848
16,1530,256,nvidia/Qwen3-8B-NVFP4,166.75382763771188
8,1530,256,nvidia/Qwen3-8B-NVFP4,161.03938844034238
512,1815,256,nvidia/Qwen3-8B-NVFP4,321.3350578571147
256,1815,256,nvidia/Qwen3-8B-NVFP4,292.0459078125478
128,1815,256,nvidia/Qwen3-8B-NVFP4,255.77626415688934
64,1822,256,nvidia/Qwen3-8B-NVFP4,229.7114329398946
16,1830,256,nvidia/Qwen3-8B-NVFP4,196.63649564692568
8,1830,256,nvidia/Qwen3-8B-NVFP4,190.4124213745227
512,2115,256,nvidia/Qwen3-8B-NVFP4,372.4259473258861
256,2107,256,nvidia/Qwen3-8B-NVFP4,329.80891692990116
128,2115,256,nvidia/Qwen3-8B-NVFP4,289.0116852452631
64,2122,256,nvidia/Qwen3-8B-NVFP4,278.5989812665119
16,2130,256,nvidia/Qwen3-8B-NVFP4,247.45987888585398
8,2130,256,nvidia/Qwen3-8B-NVFP4,238.4527301670174
512,2407,256,nvidia/Qwen3-8B-NVFP4,467.2224789147083
256,2407,256,nvidia/Qwen3-8B-NVFP4,418.5312485403977
128,2415,256,nvidia/Qwen3-8B-NVFP4,344.47114968334074
64,2422,256,nvidia/Qwen3-8B-NVFP4,312.24265512423796
16,2422,256,nvidia/Qwen3-8B-NVFP4,273.1372970716857
8,2295,256,nvidia/Qwen3-8B-NVFP4,276.1201660438952
