batch_size,sm_clock,input_len,model_name,total_energy_based_j_per_token
512,330,256,Qwen/Qwen3-8B,0.045883159722222226
256,330,256,Qwen/Qwen3-8B,0.05095658248546512
128,330,256,Qwen/Qwen3-8B,0.060667018821022725
64,330,256,Qwen/Qwen3-8B,0.08038711574074074
16,330,256,Qwen/Qwen3-8B,0.2709999485596708
8,330,256,Qwen/Qwen3-8B,0.5030930434782609
512,630,256,Qwen/Qwen3-8B,0.034476882853835975
256,630,256,Qwen/Qwen3-8B,0.03858766715116279
128,630,256,Qwen/Qwen3-8B,0.046159658104482325
64,630,256,Qwen/Qwen3-8B,0.06701566287878788
16,630,256,Qwen/Qwen3-8B,0.21798107510288067
8,630,256,Qwen/Qwen3-8B,0.4104114221014493
512,930,256,Qwen/Qwen3-8B,0.03148667483052248
256,922,256,Qwen/Qwen3-8B,0.035587937282986114
128,930,256,Qwen/Qwen3-8B,0.04234549014857881
64,930,256,Qwen/Qwen3-8B,0.0648138446969697
16,930,256,Qwen/Qwen3-8B,0.21380781378600824
8,930,256,Qwen/Qwen3-8B,0.4022747282608695
512,1230,256,Qwen/Qwen3-8B,0.03063220697831978
256,1230,256,Qwen/Qwen3-8B,0.0339735884796627
128,1230,256,Qwen/Qwen3-8B,0.04180168059593023
64,1230,256,Qwen/Qwen3-8B,0.06380774936868687
16,1230,256,Qwen/Qwen3-8B,0.20958135288065843
8,1230,256,Qwen/Qwen3-8B,0.39349523148148147
512,1522,256,Qwen/Qwen3-8B,0.028995335592503564
256,1515,256,Qwen/Qwen3-8B,0.03307206808943089
128,1530,256,Qwen/Qwen3-8B,0.04067758650274548
64,1530,256,Qwen/Qwen3-8B,0.06501155145202021
16,1530,256,Qwen/Qwen3-8B,0.2093942695473251
8,1530,256,Qwen/Qwen3-8B,0.39209961503623186
512,1815,256,Qwen/Qwen3-8B,0.031805654658564816
256,1800,256,Qwen/Qwen3-8B,0.03458171398628049
128,1822,256,Qwen/Qwen3-8B,0.04168915054563492
64,1830,256,Qwen/Qwen3-8B,0.06516608365633075
