cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,avg_temperature_C
FULL,512,330,256,Qwen/Qwen3-8B,330,29.73111573111573
FULL,256,330,256,Qwen/Qwen3-8B,330,29.184939091915837
FULL,128,330,256,Qwen/Qwen3-8B,330,30.224481658692184
FULL,64,330,256,Qwen/Qwen3-8B,330,30.43456790123457
FULL,16,330,256,Qwen/Qwen3-8B,330,30.038770685579195
FULL,8,330,256,Qwen/Qwen3-8B,330,30.2151268115942
FULL,512,630,256,Qwen/Qwen3-8B,630,33.400495626822156
FULL,256,630,256,Qwen/Qwen3-8B,630,34.368048533872596
FULL,128,630,256,Qwen/Qwen3-8B,630,33.32883522727273
FULL,64,630,256,Qwen/Qwen3-8B,630,33.03218390804597
FULL,16,630,256,Qwen/Qwen3-8B,630,33.8237037037037
FULL,8,630,256,Qwen/Qwen3-8B,630,31.97554347826087
FULL,512,930,256,Qwen/Qwen3-8B,930,36.96957671957672
FULL,256,922,256,Qwen/Qwen3-8B,922,37.29286987522281
FULL,256,930,256,Qwen/Qwen3-8B,930,37.5
FULL,128,930,256,Qwen/Qwen3-8B,930,35.328372093023255
FULL,64,930,256,Qwen/Qwen3-8B,930,34.56206293706294
FULL,16,930,256,Qwen/Qwen3-8B,930,34.87264957264957
FULL,8,930,256,Qwen/Qwen3-8B,930,33.08674234311416
FULL,512,1230,256,Qwen/Qwen3-8B,1230,41.54500343583939
FULL,256,1230,256,Qwen/Qwen3-8B,1230,40.391398259322784
FULL,128,1230,256,Qwen/Qwen3-8B,1230,40.131026659103796
FULL,64,1230,256,Qwen/Qwen3-8B,1230,36.520084566596196
FULL,16,1230,256,Qwen/Qwen3-8B,1230,36.52777777777778
FULL,8,1230,256,Qwen/Qwen3-8B,1230,34.84793144208037
FULL,512,1522,256,Qwen/Qwen3-8B,1522,45.53534881836223
FULL,256,1515,256,Qwen/Qwen3-8B,1515,44.106280575792766
FULL,128,1530,256,Qwen/Qwen3-8B,1530,44.151846785225715
FULL,64,1530,256,Qwen/Qwen3-8B,1530,41.67150072150072
FULL,16,1530,256,Qwen/Qwen3-8B,1530,39.42522522522522
FULL,8,1530,256,Qwen/Qwen3-8B,1530,39.73804347826087
FULL,512,1807,256,Qwen/Qwen3-8B,1807,49.80227272727273
FULL,512,1815,256,Qwen/Qwen3-8B,1815,51.417886178861785
FULL,256,1800,256,Qwen/Qwen3-8B,1800,51.458460880155364
FULL,128,1822,256,Qwen/Qwen3-8B,1822,47.835850340136055
FULL,128,1830,256,Qwen/Qwen3-8B,1830,47.0
FULL,64,1830,256,Qwen/Qwen3-8B,1830,44.434780570142536
FULL,16,1830,256,Qwen/Qwen3-8B,1830,44.0
FULL,8,1830,256,Qwen/Qwen3-8B,1830,42.625959079283895
FULL,512,2092,256,Qwen/Qwen3-8B,2092,59.44848694848695
FULL,256,2085,256,Qwen/Qwen3-8B,2085,56.61381430621028
FULL,128,2130,256,Qwen/Qwen3-8B,2130,52.29829345531316
FULL,64,2130,256,Qwen/Qwen3-8B,2130,48.23863636363637
FULL,16,2130,256,Qwen/Qwen3-8B,2130,45.35703703703704
FULL,8,2130,256,Qwen/Qwen3-8B,2130,44.87703804347826
FULL,512,2355,256,Qwen/Qwen3-8B,2355,69.14797685974156
FULL,256,2370,256,Qwen/Qwen3-8B,2370,67.16038433111603
FULL,128,2422,256,Qwen/Qwen3-8B,2422,62.04871596335011
FULL,64,2422,256,Qwen/Qwen3-8B,2422,54.444357366771165
FULL,16,2422,256,Qwen/Qwen3-8B,2422,52.0
FULL,8,2422,256,Qwen/Qwen3-8B,2422,50.09305555555556
