cudagraph_mode,batch_size,sm_clock,input_len,model_name,gpu_util_pct
FULL,512,330,256,Qwen/Qwen3-8B,100.0
FULL,256,330,256,Qwen/Qwen3-8B,100.0
FULL,128,330,256,Qwen/Qwen3-8B,100.0
FULL,64,330,256,Qwen/Qwen3-8B,100.0
FULL,16,330,256,Qwen/Qwen3-8B,100.0
FULL,8,330,256,Qwen/Qwen3-8B,100.0
FULL,512,630,256,Qwen/Qwen3-8B,100.0
FULL,256,630,256,Qwen/Qwen3-8B,100.0
FULL,128,630,256,Qwen/Qwen3-8B,100.0
FULL,64,630,256,Qwen/Qwen3-8B,100.0
FULL,16,630,256,Qwen/Qwen3-8B,100.0
FULL,8,630,256,Qwen/Qwen3-8B,100.0
FULL,512,930,256,Qwen/Qwen3-8B,100.0
FULL,256,922,256,Qwen/Qwen3-8B,100.0
FULL,256,930,256,Qwen/Qwen3-8B,100.0
FULL,128,930,256,Qwen/Qwen3-8B,100.0
FULL,64,930,256,Qwen/Qwen3-8B,100.0
FULL,16,930,256,Qwen/Qwen3-8B,100.0
FULL,8,930,256,Qwen/Qwen3-8B,100.0
FULL,512,1230,256,Qwen/Qwen3-8B,100.0
FULL,256,1230,256,Qwen/Qwen3-8B,100.0
FULL,128,1230,256,Qwen/Qwen3-8B,100.0
FULL,64,1230,256,Qwen/Qwen3-8B,100.0
FULL,16,1230,256,Qwen/Qwen3-8B,100.0
FULL,8,1230,256,Qwen/Qwen3-8B,100.0
FULL,512,1522,256,Qwen/Qwen3-8B,100.0
FULL,256,1515,256,Qwen/Qwen3-8B,100.0
FULL,128,1530,256,Qwen/Qwen3-8B,100.0
FULL,64,1530,256,Qwen/Qwen3-8B,100.0
FULL,16,1530,256,Qwen/Qwen3-8B,100.0
FULL,8,1530,256,Qwen/Qwen3-8B,100.0
FULL,512,1807,256,Qwen/Qwen3-8B,100.0
FULL,512,1815,256,Qwen/Qwen3-8B,100.0
FULL,256,1800,256,Qwen/Qwen3-8B,100.0
FULL,128,1822,256,Qwen/Qwen3-8B,100.0
FULL,128,1830,256,Qwen/Qwen3-8B,100.0
FULL,64,1830,256,Qwen/Qwen3-8B,100.0
FULL,16,1830,256,Qwen/Qwen3-8B,100.0
FULL,8,1830,256,Qwen/Qwen3-8B,100.0
FULL,512,2092,256,Qwen/Qwen3-8B,100.0
FULL,256,2085,256,Qwen/Qwen3-8B,100.0
FULL,128,2130,256,Qwen/Qwen3-8B,100.0
FULL,64,2130,256,Qwen/Qwen3-8B,100.0
FULL,16,2130,256,Qwen/Qwen3-8B,100.0
FULL,8,2130,256,Qwen/Qwen3-8B,100.0
FULL,512,2355,256,Qwen/Qwen3-8B,100.0
FULL,256,2370,256,Qwen/Qwen3-8B,99.0
FULL,128,2422,256,Qwen/Qwen3-8B,100.0
FULL,64,2422,256,Qwen/Qwen3-8B,100.0
FULL,16,2422,256,Qwen/Qwen3-8B,100.0
FULL,8,2422,256,Qwen/Qwen3-8B,100.0
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,100.0
