cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,iteration,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,512,330,256,Qwen/Qwen3-8B,266,0,2088797,46080,18.8758,90,110.973021978022,2094.704568252748,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,267,1,2089942,46080,18.88,90,111.10033333333332,2097.574293333333,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,268,2,2091143,46080,18.8851,90,110.95815555555554,2095.455863482222,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,269,3,2092594,46080,18.8835,90,110.8632777777778,2093.4867059166672,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,270,4,2094505,46080,18.8848,90,110.96914444444444,2095.630099004444,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,271,5,2095665,46080,18.8863,90,111.11161111111112,2098.487220927778,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,272,6,2096231,46080,18.8928,90,111.17285555555554,2100.36652544,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,273,7,2098894,46080,18.8849,90,111.41802222222222,2104.1182078644442,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,274,8,2097332,46080,18.8882,90,111.22142857142856,2100.772587142857,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,275,9,2099074,46080,18.894,90,111.24615555555555,2101.884863066666,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,276,10,2099401,46080,18.8945,90,111.05443956043956,2098.3181082747255,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,277,11,2100109,46080,18.8962,90,111.20362222222221,2101.325886235555,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,278,12,2101153,46080,18.8957,90,111.21969230769231,2101.573939938462,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,279,13,2112659,46080,18.8986,90,111.36843333333333,2104.707474193333,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,280,14,2102224,46080,18.901,90,111.1942087912088,2101.6817403626374,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,281,15,2103288,46080,18.9006,90,111.39411111111113,2105.415536466667,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,282,16,2106296,46080,18.9026,90,111.4526923076923,2106.7456616153845,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,283,17,2109408,46080,18.9096,90,111.67804395604395,2111.7871399912087,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,284,18,2110325,46080,18.9058,90,111.8909888888889,2115.3886577355556,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,285,19,2123043,46080,18.9109,90,111.81703296703296,2114.5607287362636,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,286,20,2113873,46080,18.9135,90,111.94616483516484,2117.29378860989,100.0,11.043956043956044
FULL,512,330,256,Qwen/Qwen3-8B,287,21,2116006,46080,18.9147,90,112.15769230769232,2121.429102692308,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,288,22,2128909,46080,18.9183,90,112.1695777777778,2122.0577232733335,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,289,23,2119559,46080,18.9202,90,112.26231111111109,2124.025378684444,100.0,11.0
FULL,512,330,256,Qwen/Qwen3-8B,290,24,2121494,46080,18.921,90,112.31293406593406,2125.0730254615382,100.0,11.12087912087912
FULL,512,330,256,Qwen/Qwen3-8B,291,25,2137502,46080,18.9086,90,112.58415384615382,2128.808731415384,100.0,11.274725274725276
FULL,512,330,256,Qwen/Qwen3-8B,292,26,2127971,46080,18.915,90,112.67425274725275,2131.233490714286,100.0,11.285714285714286
FULL,512,330,256,Qwen/Qwen3-8B,293,27,2129263,46080,18.9106,90,112.82767032967034,2133.6389425362636,100.0,11.340659340659341
FULL,512,330,256,Qwen/Qwen3-8B,294,28,2129629,46080,18.9142,90,112.86027472527472,2134.661808208791,100.0,11.76923076923077
FULL,512,330,256,Qwen/Qwen3-8B,295,29,2132594,46080,18.916,90,112.88312087912088,2135.2971145494507,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,296,30,2133526,46080,18.9207,90,112.964989010989,2137.3766675802194,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,297,31,2144502,46080,18.923,90,112.84551648351648,2135.3757084175822,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,298,32,2132543,46080,18.9203,90,112.96871428571431,2137.4019649000006,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,299,33,2132114,46080,18.9252,90,112.92347252747253,2137.099302276923,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,300,34,2142932,46080,18.9263,90,112.89605494505494,2136.7046047065933,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,301,35,2131508,46080,18.9316,90,112.78814285714287,2135.260005314286,100.0,12.0
FULL,512,330,256,Qwen/Qwen3-8B,302,36,2142944,46080,18.9333,90,112.88706593406593,2137.3246854494505,100.0,12.0
FULL,256,330,256,Qwen/Qwen3-8B,260,0,1944514,38400,17.5602,150,110.48167857142856,1940.0803720499996,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,261,1,1944172,38400,17.5703,150,110.62711904761902,1943.7516698023803,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,262,2,1944886,38400,17.5631,150,110.58166666666665,1942.1568698333328,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,263,3,1944607,38400,17.5617,150,110.63730952380953,1942.9792386642857,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,264,4,1934766,38400,17.5593,150,110.48890476190478,1940.1078253857147,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,265,5,1946237,38400,17.5623,150,110.62014285714287,1942.7441349000003,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,266,6,1947135,38400,17.5676,150,110.61838095238095,1943.2994692190473,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,267,7,1946440,38400,17.5633,150,110.73055952380955,1944.7940360845244,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,268,8,1948120,38400,17.5522,150,110.83215476190476,1945.3481468119046,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,269,9,1937172,38400,17.5668,150,110.65622619047619,1943.8757942428572,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,270,10,1949772,38400,17.5765,150,110.57940476190481,1943.5989077976199,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,271,11,1949816,38400,17.5621,150,110.90761904761906,1947.7706964761908,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,272,12,1950734,38400,17.5595,150,110.98416666666665,1948.826474583333,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,273,13,1949973,38400,17.5654,150,111.02998809523812,1950.2861528880958,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,274,14,1941141,38400,17.5662,150,110.92308333333332,1948.4970664499997,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,275,15,1950456,38400,17.5701,150,110.9812738095238,1949.952078960714,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,276,16,1952817,38400,17.5726,150,111.21192857142854,1954.2827360142853,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,277,17,1953489,38400,17.5786,150,111.14896428571427,1953.843183592857,100.0,13.0
FULL,256,330,256,Qwen/Qwen3-8B,278,18,1956231,38400,17.5807,150,111.11567857142856,1953.491410260714,100.0,13.035714285714286
FULL,256,330,256,Qwen/Qwen3-8B,279,19,1955633,38400,17.5715,150,111.12220238095237,1952.5837791369047,100.0,13.095238095238095
FULL,256,330,256,Qwen/Qwen3-8B,280,20,1944654,38400,17.5733,150,111.33791666666667,1956.5746109583333,100.0,13.226190476190476
FULL,256,330,256,Qwen/Qwen3-8B,281,21,1956735,38400,17.581,150,111.27209523809526,1956.2747063809527,100.0,13.476190476190476
FULL,256,330,256,Qwen/Qwen3-8B,282,22,1958819,38400,17.5847,150,111.20795238095243,1955.5584802333344,100.0,13.595238095238095
FULL,256,330,256,Qwen/Qwen3-8B,283,23,1959505,38400,17.5744,150,111.38565476190476,1957.5360510476191,100.0,13.714285714285714
FULL,256,330,256,Qwen/Qwen3-8B,284,24,1958466,38400,17.58,150,111.36786904761907,1957.847137857143,100.0,13.797619047619047
FULL,256,330,256,Qwen/Qwen3-8B,285,25,1959606,38400,17.5767,150,111.47167857142858,1959.3042527464286,100.0,13.916666666666666
FULL,256,330,256,Qwen/Qwen3-8B,286,26,1958858,38400,17.5837,150,111.30810714285714,1957.208363567857,100.0,13.952380952380953
FULL,256,330,256,Qwen/Qwen3-8B,287,27,1960204,38400,17.5863,150,111.63179761904765,1963.1902824678577,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,288,28,1960038,38400,17.5879,150,111.48373809523807,1960.7648372452377,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,289,29,1961201,38400,17.5862,150,111.35784523809525,1958.3613379261908,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,290,30,1960905,38400,17.5877,150,111.37510714285715,1958.8319718964287,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,291,31,1962261,38400,17.5897,150,111.68566666666666,1964.5173709666667,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,292,32,1961122,38400,17.5973,150,111.68222619047616,1965.305638941666,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,293,33,1975211,38400,17.5978,150,111.7212261904762,1966.047794254762,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,294,34,1965431,38400,17.602,150,111.6969642857143,1966.0899653571432,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,295,35,1967040,38400,17.6063,150,111.9360357142857,1970.7794255964284,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,296,36,1969099,38400,17.6201,150,111.97941666666668,1973.0885196083336,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,297,37,1969632,38400,17.6158,150,111.93686904761907,1971.857497769048,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,298,38,1974167,38400,17.6187,150,112.22839285714288,1977.3183852321433,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,299,39,1974059,38400,17.625,150,112.36097619047617,1980.3622053571423,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,300,40,1976019,38400,17.6305,150,112.44985714285716,1982.5472063571433,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,301,41,1978724,38400,17.6263,150,112.6810238095238,1986.1495299738092,100.0,14.0
FULL,256,330,256,Qwen/Qwen3-8B,302,42,1979642,38400,17.626,150,112.45083529411762,1982.0584228941175,100.0,14.0
FULL,128,330,256,Qwen/Qwen3-8B,259,0,1383822,23040,11.8038,180,117.27412280701756,1384.280290789474,100.0,18.87719298245614
FULL,128,330,256,Qwen/Qwen3-8B,260,1,1382934,23040,11.8106,180,117.38298245614035,1386.3634525964915,100.0,18.964912280701753
FULL,128,330,256,Qwen/Qwen3-8B,261,2,1383871,23040,11.8286,180,117.32915789473684,1387.8396770736842,100.0,18.859649122807017
FULL,128,330,256,Qwen/Qwen3-8B,262,3,1385392,23040,11.8203,180,117.48747368421053,1388.7371851894736,100.0,18.964912280701753
FULL,128,330,256,Qwen/Qwen3-8B,263,4,1386361,23040,11.8084,180,117.61899999999999,1388.8921996,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,264,5,1387465,23040,11.8154,180,117.73652631578946,1391.1041530315788,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,265,6,1387925,23040,11.8129,180,117.81691228070176,1391.759403080702,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,266,7,1401348,23040,11.8225,180,117.9861403508772,1394.8911442982458,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,267,8,1390870,23040,11.8259,180,117.96101754385965,1394.9951973719299,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,268,9,1391327,23040,11.8205,180,118.18996491228071,1397.064480245614,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,269,10,1392427,23040,11.8187,180,118.18568421052633,1396.8011459789475,100.0,19.0
FULL,128,330,256,Qwen/Qwen3-8B,270,11,1392622,23040,11.8159,180,118.18840350877193,1396.5023570192982,100.0,19.0
