cudagraph_mode,batch_size,sm_clock,input_len,model_name,latency_sec_per_token
FULL,512,330,256,Qwen/Qwen3-8B,0.0004102755489864865
FULL,256,330,256,Qwen/Qwen3-8B,0.0004579017684108527
FULL,128,330,256,Qwen/Qwen3-8B,0.0005136402107007576
FULL,64,330,256,Qwen/Qwen3-8B,0.0006444158950617284
FULL,16,330,256,Qwen/Qwen3-8B,0.002227781378600823
FULL,8,330,256,Qwen/Qwen3-8B,0.004183042572463768
FULL,512,630,256,Qwen/Qwen3-8B,0.000221312003968254
FULL,256,630,256,Qwen/Qwen3-8B,0.0002496197311046512
FULL,128,630,256,Qwen/Qwen3-8B,0.0002824266098484848
FULL,64,630,256,Qwen/Qwen3-8B,0.00042622064393939394
FULL,16,630,256,Qwen/Qwen3-8B,0.001417311728395062
FULL,8,630,256,Qwen/Qwen3-8B,0.0027305353260869566
FULL,512,930,256,Qwen/Qwen3-8B,0.00016235553075396824
FULL,256,922,256,Qwen/Qwen3-8B,0.00018637695312500002
FULL,256,930,256,Qwen/Qwen3-8B,0.00018600651041666665
FULL,128,930,256,Qwen/Qwen3-8B,0.00022457980054909558
FULL,64,930,256,Qwen/Qwen3-8B,0.0003750482954545455
FULL,16,930,256,Qwen/Qwen3-8B,0.0012776244855967076
FULL,8,930,256,Qwen/Qwen3-8B,0.0024742445652173916
FULL,512,1230,256,Qwen/Qwen3-8B,0.0001289060647442412
FULL,256,1230,256,Qwen/Qwen3-8B,0.0001456940414186508
FULL,128,1230,256,Qwen/Qwen3-8B,0.00018597842982881138
FULL,64,1230,256,Qwen/Qwen3-8B,0.00031987578914141417
FULL,16,1230,256,Qwen/Qwen3-8B,0.0010981666666666666
FULL,8,1230,256,Qwen/Qwen3-8B,0.002123425
FULL,512,1522,256,Qwen/Qwen3-8B,0.00010463063123219372
FULL,256,1515,256,Qwen/Qwen3-8B,0.00011884575076219512
FULL,128,1530,256,Qwen/Qwen3-8B,0.0001516740855135659
FULL,64,1530,256,Qwen/Qwen3-8B,0.0002601720328282827
FULL,16,1530,256,Qwen/Qwen3-8B,0.0008911093106995886
FULL,8,1530,256,Qwen/Qwen3-8B,0.001722676630434782
FULL,512,1807,256,Qwen/Qwen3-8B,8.815064709595958e-05
FULL,512,1815,256,Qwen/Qwen3-8B,8.992527488425925e-05
FULL,256,1800,256,Qwen/Qwen3-8B,0.00010170515752032521
FULL,128,1822,256,Qwen/Qwen3-8B,0.0001332798859126984
FULL,128,1830,256,Qwen/Qwen3-8B,0.000134921875
FULL,64,1830,256,Qwen/Qwen3-8B,0.00022516392118863052
