cudagraph_mode,batch_size,sm_clock,input_len,model_name,memory_util_pct
FULL,512,330,256,Qwen/Qwen3-8B,11.265815265815267
FULL,256,330,256,Qwen/Qwen3-8B,13.483942414174974
FULL,128,330,256,Qwen/Qwen3-8B,18.992424242424242
FULL,64,330,256,Qwen/Qwen3-8B,25.880987654320986
FULL,16,330,256,Qwen/Qwen3-8B,26.0
FULL,8,330,256,Qwen/Qwen3-8B,27.0
FULL,512,630,256,Qwen/Qwen3-8B,20.818833819241984
FULL,256,630,256,Qwen/Qwen3-8B,25.042972699696662
FULL,128,630,256,Qwen/Qwen3-8B,35.07173295454545
FULL,64,630,256,Qwen/Qwen3-8B,38.98555381400209
FULL,16,630,256,Qwen/Qwen3-8B,41.0
FULL,8,630,256,Qwen/Qwen3-8B,41.0
FULL,512,930,256,Qwen/Qwen3-8B,28.421260546260545
FULL,256,922,256,Qwen/Qwen3-8B,33.714285714285715
FULL,256,930,256,Qwen/Qwen3-8B,33.5
FULL,128,930,256,Qwen/Qwen3-8B,43.3027549194991
FULL,64,930,256,Qwen/Qwen3-8B,44.12762237762238
FULL,16,930,256,Qwen/Qwen3-8B,45.0
FULL,8,930,256,Qwen/Qwen3-8B,45.329674448490046
FULL,512,1230,256,Qwen/Qwen3-8B,35.666947014297726
FULL,256,1230,256,Qwen/Qwen3-8B,42.776647880421464
FULL,128,1230,256,Qwen/Qwen3-8B,52.21270561542824
FULL,64,1230,256,Qwen/Qwen3-8B,51.998942917547566
FULL,16,1230,256,Qwen/Qwen3-8B,52.9984960718294
FULL,8,1230,256,Qwen/Qwen3-8B,53.0
FULL,512,1522,256,Qwen/Qwen3-8B,43.955615306679135
FULL,256,1515,256,Qwen/Qwen3-8B,52.530635624538064
FULL,128,1530,256,Qwen/Qwen3-8B,64.31053351573186
FULL,64,1530,256,Qwen/Qwen3-8B,63.76641414141414
FULL,16,1530,256,Qwen/Qwen3-8B,65.0
FULL,8,1530,256,Qwen/Qwen3-8B,65.0
FULL,512,1807,256,Qwen/Qwen3-8B,51.16115702479339
FULL,512,1815,256,Qwen/Qwen3-8B,52.07317073170732
FULL,256,1800,256,Qwen/Qwen3-8B,61.368388137322675
FULL,128,1822,256,Qwen/Qwen3-8B,73.91384205856255
FULL,128,1830,256,Qwen/Qwen3-8B,75.0
FULL,64,1830,256,Qwen/Qwen3-8B,73.58739684921231
FULL,16,1830,256,Qwen/Qwen3-8B,76.0
FULL,8,1830,256,Qwen/Qwen3-8B,76.99232736572891
FULL,512,2092,256,Qwen/Qwen3-8B,56.77143641617326
FULL,256,2085,256,Qwen/Qwen3-8B,67.57700348432056
FULL,128,2130,256,Qwen/Qwen3-8B,77.2597642505278
FULL,64,2130,256,Qwen/Qwen3-8B,76.86969696969696
FULL,16,2130,256,Qwen/Qwen3-8B,80.42253285543607
FULL,8,2130,256,Qwen/Qwen3-8B,81.0
FULL,512,2355,256,Qwen/Qwen3-8B,60.73691014867485
FULL,256,2370,256,Qwen/Qwen3-8B,71.60088691796008
FULL,128,2422,256,Qwen/Qwen3-8B,79.32491289198606
FULL,64,2422,256,Qwen/Qwen3-8B,78.77037617554858
FULL,16,2422,256,Qwen/Qwen3-8B,82.97141762452108
FULL,8,2422,256,Qwen/Qwen3-8B,83.0
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,16.328998171103432
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,14.631837536849003
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,12.291558441558442
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,10.10496096096096
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,8.0
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,7.0
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,29.333279312859574
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,25.99761904761905
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,22.14251639833035
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,17.821881606765327
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,13.0
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,12.0
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,37.01832824038706
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,33.15700859400456
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,28.004501125281323
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,22.67372039724981
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,17.0
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,15.0
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,44.0639103586472
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,40.76307802670787
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,34.72091124822022
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,28.633743091290263
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,21.035087719298247
