cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
FULL,512,330,256,Qwen/Qwen3-8B,111.89890216810215
FULL,256,330,256,Qwen/Qwen3-8B,111.3090163800404
FULL,128,330,256,Qwen/Qwen3-8B,118.20575792635978
FULL,64,330,256,Qwen/Qwen3-8B,124.77088551066221
FULL,16,330,256,Qwen/Qwen3-8B,121.46173570767806
FULL,8,330,256,Qwen/Qwen3-8B,120.38095778800651
FULL,512,630,256,Qwen/Qwen3-8B,155.74554653061227
FULL,256,630,256,Qwen/Qwen3-8B,154.63347745412304
FULL,128,630,256,Qwen/Qwen3-8B,163.44357102272724
FULL,64,630,256,Qwen/Qwen3-8B,157.3511815830721
FULL,16,630,256,Qwen/Qwen3-8B,154.1783600255428
FULL,8,630,256,Qwen/Qwen3-8B,150.379294858871
FULL,512,930,256,Qwen/Qwen3-8B,194.0109742957243
FULL,256,922,256,Qwen/Qwen3-8B,190.95283790456782
FULL,256,930,256,Qwen/Qwen3-8B,191.07491666666664
FULL,128,930,256,Qwen/Qwen3-8B,188.54781903398927
FULL,64,930,256,Qwen/Qwen3-8B,172.86801223776226
FULL,16,930,256,Qwen/Qwen3-8B,167.35372728711616
FULL,8,930,256,Qwen/Qwen3-8B,162.62325235596487
FULL,512,1230,256,Qwen/Qwen3-8B,237.70470298723046
FULL,256,1230,256,Qwen/Qwen3-8B,233.3243394296363
FULL,128,1230,256,Qwen/Qwen3-8B,224.57515420819496
FULL,64,1230,256,Qwen/Qwen3-8B,199.43591280270996
FULL,16,1230,256,Qwen/Qwen3-8B,190.835462929293
FULL,8,1230,256,Qwen/Qwen3-8B,185.34424645390072
FULL,512,1522,256,Qwen/Qwen3-8B,277.40582768285884
FULL,256,1515,256,Qwen/Qwen3-8B,277.74287121036144
FULL,128,1530,256,Qwen/Qwen3-8B,268.2162619699042
FULL,64,1530,256,Qwen/Qwen3-8B,249.6680293109668
FULL,16,1530,256,Qwen/Qwen3-8B,234.92323741109524
FULL,8,1530,256,Qwen/Qwen3-8B,227.77343791806015
FULL,512,1807,256,Qwen/Qwen3-8B,353.35910193090274
FULL,512,1815,256,Qwen/Qwen3-8B,353.3620522957266
FULL,256,1800,256,Qwen/Qwen3-8B,339.9335433255982
FULL,128,1822,256,Qwen/Qwen3-8B,313.12291515803327
FULL,128,1830,256,Qwen/Qwen3-8B,311.85789473684207
FULL,64,1830,256,Qwen/Qwen3-8B,289.6874184874344
FULL,16,1830,256,Qwen/Qwen3-8B,268.5604778829966
FULL,8,1830,256,Qwen/Qwen3-8B,267.6872576360979
FULL,512,2092,256,Qwen/Qwen3-8B,429.3057419697025
FULL,256,2085,256,Qwen/Qwen3-8B,407.8578309740156
FULL,128,2130,256,Qwen/Qwen3-8B,362.0701044159043
FULL,64,2130,256,Qwen/Qwen3-8B,312.83169545454547
FULL,16,2130,256,Qwen/Qwen3-8B,296.5179983273596
FULL,8,2130,256,Qwen/Qwen3-8B,298.0886669960475
FULL,512,2355,256,Qwen/Qwen3-8B,543.6055888399184
FULL,256,2370,256,Qwen/Qwen3-8B,519.888656811117
FULL,128,2422,256,Qwen/Qwen3-8B,451.36440085817526
FULL,64,2422,256,Qwen/Qwen3-8B,381.03646886102393
FULL,16,2422,256,Qwen/Qwen3-8B,357.5850182630908
FULL,8,2422,256,Qwen/Qwen3-8B,340.8497779345878
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,118.44682072657073
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,107.65701175528622
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,94.34390627334496
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,86.90168601001001
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,78.99508233618234
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,77.41407465675057
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,161.28584473656423
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,144.58880778164925
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,125.25394692903996
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,113.50783478052955
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,100.33839296833067
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,98.25852296296297
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,188.55872617901704
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,169.26743697778477
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,145.36954782445613
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,131.242942131398
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,115.32708244911579
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,111.91535267332547
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,224.5368952326991
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,202.35438447607726
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,172.6348128535833
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,156.9428305063211
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,135.66597189501533
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,131.20289776070607
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,280.5637084677997
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,257.2581061820447
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,215.27132063607723
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,192.53728772609819
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,166.75718108747043
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,161.1946206804399
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,321.46067581012795
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,292.1110540578534
