cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_j_per_token
FULL,512,330,256,Qwen/Qwen3-8B,0.045909609523256664
FULL,256,330,256,Qwen/Qwen3-8B,0.05096889779420455
FULL,128,330,256,Qwen/Qwen3-8B,0.06071546852902608
FULL,64,330,256,Qwen/Qwen3-8B,0.08040324456199628
FULL,16,330,256,Qwen/Qwen3-8B,0.2705894855972917
FULL,8,330,256,Qwen/Qwen3-8B,0.503556324168461
FULL,512,630,256,Qwen/Qwen3-8B,0.03446853994132953
FULL,256,630,256,Qwen/Qwen3-8B,0.03859979472258956
FULL,128,630,256,Qwen/Qwen3-8B,0.04616097897233751
FULL,64,630,256,Qwen/Qwen3-8B,0.06706639671216348
FULL,16,630,256,Qwen/Qwen3-8B,0.21851882270342876
FULL,8,630,256,Qwen/Qwen3-8B,0.41061571580303485
FULL,512,930,256,Qwen/Qwen3-8B,0.03149956936772854
FULL,256,922,256,Qwen/Qwen3-8B,0.03558913646200564
FULL,256,930,256,Qwen/Qwen3-8B,0.035540980523546005
FULL,128,930,256,Qwen/Qwen3-8B,0.04234402685867605
FULL,64,930,256,Qwen/Qwen3-8B,0.06483421918951535
FULL,16,930,256,Qwen/Qwen3-8B,0.21381521863767686
FULL,8,930,256,Qwen/Qwen3-8B,0.4023693761578908
FULL,512,1230,256,Qwen/Qwen3-8B,0.03064201458501295
FULL,256,1230,256,Qwen/Qwen3-8B,0.03399324944761726
FULL,128,1230,256,Qwen/Qwen3-8B,0.04176668417075198
FULL,64,1230,256,Qwen/Qwen3-8B,0.0637946653559071
FULL,16,1230,256,Qwen/Qwen3-8B,0.20956937762186234
FULL,8,1230,256,Qwen/Qwen3-8B,0.39356458840886727
FULL,512,1522,256,Qwen/Qwen3-8B,0.029019964591502898
FULL,256,1515,256,Qwen/Qwen3-8B,0.033010012941038766
FULL,128,1530,256,Qwen/Qwen3-8B,0.0406768675606392
FULL,64,1530,256,Qwen/Qwen3-8B,0.0649565347648309
FULL,16,1530,256,Qwen/Qwen3-8B,0.2093426029648678
FULL,8,1530,256,Qwen/Qwen3-8B,0.3923793576576331
FULL,512,1807,256,Qwen/Qwen3-8B,0.031149097226701335
FULL,512,1815,256,Qwen/Qwen3-8B,0.03177588477486503
FULL,256,1800,256,Qwen/Qwen3-8B,0.03457283173657214
FULL,128,1822,256,Qwen/Qwen3-8B,0.04173246177223134
FULL,128,1830,256,Qwen/Qwen3-8B,0.04207645189144737
FULL,64,1830,256,Qwen/Qwen3-8B,0.06522519598116366
FULL,16,1830,256,Qwen/Qwen3-8B,0.20458823021121497
FULL,8,1830,256,Qwen/Qwen3-8B,0.39329460393369337
FULL,512,2092,256,Qwen/Qwen3-8B,0.03471161665851386
FULL,256,2085,256,Qwen/Qwen3-8B,0.03760261338897766
FULL,128,2130,256,Qwen/Qwen3-8B,0.045473162910638014
FULL,64,2130,256,Qwen/Qwen3-8B,0.06727552680521885
FULL,16,2130,256,Qwen/Qwen3-8B,0.21240342719756738
FULL,8,2130,256,Qwen/Qwen3-8B,0.4121781099625891
FULL,512,2355,256,Qwen/Qwen3-8B,0.041019908962126816
FULL,256,2370,256,Qwen/Qwen3-8B,0.04522710762838776
FULL,128,2422,256,Qwen/Qwen3-8B,0.05511150034042278
FULL,64,2422,256,Qwen/Qwen3-8B,0.08002853244424425
FULL,16,2422,256,Qwen/Qwen3-8B,0.2497010718489588
FULL,8,2422,256,Qwen/Qwen3-8B,0.4613804080446198
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,0.024637132662855752
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,0.027960086151955145
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,0.03577749480992348
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,0.0562357052770192
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,0.190652213075117
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,0.36305551895676846
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,0.01854903337280137
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,0.020846711938377987
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,0.026196997363150034
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,0.041814315293222035
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,0.14119914706657352
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,0.2706516678236478
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,0.017107199541773255
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,0.019351169360697706
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,0.02396096547009311
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,0.038043986360230535
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,0.12706134244194614
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,0.24666521845870232
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,0.017079859760789143
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,0.018789645761262592
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,0.022921208931278924
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,0.03615352370304562
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,0.11779667756308261
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,0.2247186034679174
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,0.017436781524736378
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,0.01955447781737754
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,0.0234802308430797
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,0.036372650153887555
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,0.11880727494763522
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,0.22621123552580924
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,0.01728957286185744
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,0.019266688210929184
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,0.024097563985600142
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,0.03713163352524735
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,0.11924885431718661
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,0.22702994441717142
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,0.019001407595157654
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,0.018896555335354188
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,0.020430535270779922
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,0.02535680945458523
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,0.023698698762336916
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,0.040557878386867446
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,0.13192517544928115
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,0.24989460538659297
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,0.022707871936599143
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,0.02435530357966509
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,0.028244998783309407
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,0.04186077229575804
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,0.13438484401041295
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,0.25486902995220057
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,0.27402247915680067
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,0.27459045172288626
FULL,512,330,256,nvidia/Qwen3-8B-FP8,0.03231741245375888
FULL,256,330,256,nvidia/Qwen3-8B-FP8,0.035629714064726
FULL,128,330,256,nvidia/Qwen3-8B-FP8,0.04240064874736243
FULL,64,330,256,nvidia/Qwen3-8B-FP8,0.05293875221101993
FULL,16,330,256,nvidia/Qwen3-8B-FP8,0.16449510912620338
FULL,8,330,256,nvidia/Qwen3-8B-FP8,0.2937496852600227
FULL,512,630,256,nvidia/Qwen3-8B-FP8,0.024145423846639546
FULL,256,630,256,nvidia/Qwen3-8B-FP8,0.02697182663540902
FULL,128,630,256,nvidia/Qwen3-8B-FP8,0.031931232054104204
FULL,64,630,256,nvidia/Qwen3-8B-FP8,0.04167671252387153
FULL,16,630,256,nvidia/Qwen3-8B-FP8,0.13356711082640213
FULL,8,630,256,nvidia/Qwen3-8B-FP8,0.2461847829540579
FULL,512,930,256,nvidia/Qwen3-8B-FP8,0.022250273690865248
FULL,256,922,256,nvidia/Qwen3-8B-FP8,0.024837930505731833
FULL,128,900,256,nvidia/Qwen3-8B-FP8,0.029757875027477523
FULL,128,907,256,nvidia/Qwen3-8B-FP8,0.03013975893701172
