cudagraph_mode,batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,512,330,256,Qwen/Qwen3-8B,2437.386294333952
FULL,256,330,256,Qwen/Qwen3-8B,2183.874509745831
FULL,128,330,256,Qwen/Qwen3-8B,1946.8880729483842
FULL,64,330,256,Qwen/Qwen3-8B,1551.7928835448888
FULL,16,330,256,Qwen/Qwen3-8B,448.87707995299724
FULL,8,330,256,Qwen/Qwen3-8B,239.06044049917728
FULL,512,630,256,Qwen/Qwen3-8B,4518.507726961998
FULL,256,630,256,Qwen/Qwen3-8B,4006.093571107797
FULL,128,630,256,Qwen/Qwen3-8B,3540.742851873895
FULL,64,630,256,Qwen/Qwen3-8B,2346.2026399223264
FULL,16,630,256,Qwen/Qwen3-8B,705.5610843864122
FULL,8,630,256,Qwen/Qwen3-8B,366.2285524915981
FULL,512,930,256,Qwen/Qwen3-8B,6159.32204684415
FULL,256,922,256,Qwen/Qwen3-8B,5365.47026460571
FULL,256,930,256,Qwen/Qwen3-8B,5376.155908521348
FULL,128,930,256,Qwen/Qwen3-8B,4452.760210646768
FULL,64,930,256,Qwen/Qwen3-8B,2666.323276547717
FULL,16,930,256,Qwen/Qwen3-8B,782.7025947557318
FULL,8,930,256,Qwen/Qwen3-8B,404.16376540050646
FULL,512,1230,256,Qwen/Qwen3-8B,7757.586906279942
FULL,256,1230,256,Qwen/Qwen3-8B,6863.6986815851105
FULL,128,1230,256,Qwen/Qwen3-8B,5376.967645766639
FULL,64,1230,256,Qwen/Qwen3-8B,3126.213467684199
FULL,16,1230,256,Qwen/Qwen3-8B,910.6085900743665
FULL,8,1230,256,Qwen/Qwen3-8B,470.93728292734613
FULL,512,1522,256,Qwen/Qwen3-8B,9557.430632152305
FULL,256,1515,256,Qwen/Qwen3-8B,8414.268020410373
FULL,128,1530,256,Qwen/Qwen3-8B,6593.084089572829
FULL,64,1530,256,Qwen/Qwen3-8B,3843.610664563683
FULL,16,1530,256,Qwen/Qwen3-8B,1122.196781015478
FULL,8,1530,256,Qwen/Qwen3-8B,580.4919985172216
FULL,512,1807,256,Qwen/Qwen3-8B,11344.216213312804
FULL,512,1815,256,Qwen/Qwen3-8B,11120.344099999438
FULL,256,1800,256,Qwen/Qwen3-8B,9832.343062839813
FULL,128,1822,256,Qwen/Qwen3-8B,7503.007623033415
FULL,128,1830,256,Qwen/Qwen3-8B,7411.696583671106
FULL,64,1830,256,Qwen/Qwen3-8B,4441.208852293225
FULL,16,1830,256,Qwen/Qwen3-8B,1312.6864323660934
FULL,8,1830,256,Qwen/Qwen3-8B,680.6275459955334
FULL,512,2092,256,Qwen/Qwen3-8B,12367.920019242294
FULL,256,2085,256,Qwen/Qwen3-8B,10846.004169897311
FULL,128,2130,256,Qwen/Qwen3-8B,7962.275297840672
FULL,64,2130,256,Qwen/Qwen3-8B,4650.010733334435
