cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,512,330,256,Qwen/Qwen3-8B,111.83498464768005
FULL,256,330,256,Qwen/Qwen3-8B,111.28278159376814
FULL,128,330,256,Qwen/Qwen3-8B,118.1118953639843
FULL,64,330,256,Qwen/Qwen3-8B,124.7441541351808
FULL,16,330,256,Qwen/Qwen3-8B,121.64566557687748
FULL,8,330,256,Qwen/Qwen3-8B,120.26964458598478
FULL,512,630,256,Qwen/Qwen3-8B,155.78406157662147
FULL,256,630,256,Qwen/Qwen3-8B,154.58580529832076
FULL,128,630,256,Qwen/Qwen3-8B,163.43947947838868
FULL,64,630,256,Qwen/Qwen3-8B,157.23232516235677
FULL,16,630,256,Qwen/Qwen3-8B,153.79896372530442
FULL,8,630,256,Qwen/Qwen3-8B,150.30438104223205
FULL,512,930,256,Qwen/Qwen3-8B,193.93657046544993
FULL,256,922,256,Qwen/Qwen3-8B,190.94601927051494
FULL,256,930,256,Qwen/Qwen3-8B,189.67351053180545
FULL,128,930,256,Qwen/Qwen3-8B,188.55431363392643
FULL,64,930,256,Qwen/Qwen3-8B,172.81466275807915
FULL,16,930,256,Qwen/Qwen3-8B,167.34793062935896
FULL,8,930,256,Qwen/Qwen3-8B,162.58486889937856
FULL,512,1230,256,Qwen/Qwen3-8B,237.63200776547063
FULL,256,1230,256,Qwen/Qwen3-8B,233.18447445657597
FULL,128,1230,256,Qwen/Qwen3-8B,224.76628410298795
FULL,64,1230,256,Qwen/Qwen3-8B,199.47664541900681
FULL,16,1230,256,Qwen/Qwen3-8B,190.8465802525346
FULL,8,1230,256,Qwen/Qwen3-8B,185.31157515875603
FULL,512,1522,256,Qwen/Qwen3-8B,277.12090858132956
FULL,256,1515,256,Qwen/Qwen3-8B,278.2772448937327
FULL,128,1530,256,Qwen/Qwen3-8B,268.1907483734737
FULL,64,1530,256,Qwen/Qwen3-8B,249.87909248081542
FULL,16,1530,256,Qwen/Qwen3-8B,234.9815752490956
FULL,8,1530,256,Qwen/Qwen3-8B,227.6106891502155
FULL,512,1807,256,Qwen/Qwen3-8B,353.51780814559845
FULL,512,1815,256,Qwen/Qwen3-8B,353.6898241289909
FULL,256,1800,256,Qwen/Qwen3-8B,340.0192756141155
FULL,128,1822,256,Qwen/Qwen3-8B,312.7940143416865
FULL,128,1830,256,Qwen/Qwen3-8B,310.84185807115745
FULL,64,1830,256,Qwen/Qwen3-8B,289.416187603777
FULL,16,1830,256,Qwen/Qwen3-8B,268.6654658466878
FULL,8,1830,256,Qwen/Qwen3-8B,267.49208785890545
FULL,512,2092,256,Qwen/Qwen3-8B,429.84597221223373
FULL,256,2085,256,Qwen/Qwen3-8B,408.12772781930494
FULL,128,2130,256,Qwen/Qwen3-8B,361.855153040612
FULL,64,2130,256,Qwen/Qwen3-8B,312.00685098645766
FULL,16,2130,256,Qwen/Qwen3-8B,296.300563900663
FULL,8,2130,256,Qwen/Qwen3-8B,297.56856628532796
FULL,512,2355,256,Qwen/Qwen3-8B,544.3214468367224
