cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_j_per_token
FULL,512,330,256,Qwen/Qwen3-8B,0.045883159722222226
FULL,256,330,256,Qwen/Qwen3-8B,0.05095658248546512
FULL,128,330,256,Qwen/Qwen3-8B,0.060667018821022725
FULL,64,330,256,Qwen/Qwen3-8B,0.08038711574074074
FULL,16,330,256,Qwen/Qwen3-8B,0.2709999485596708
FULL,8,330,256,Qwen/Qwen3-8B,0.5030930434782609
FULL,512,630,256,Qwen/Qwen3-8B,0.034476882853835975
FULL,256,630,256,Qwen/Qwen3-8B,0.03858766715116279
FULL,128,630,256,Qwen/Qwen3-8B,0.046159658104482325
FULL,64,630,256,Qwen/Qwen3-8B,0.06701566287878788
FULL,16,630,256,Qwen/Qwen3-8B,0.21798107510288067
FULL,8,630,256,Qwen/Qwen3-8B,0.4104114221014493
FULL,512,930,256,Qwen/Qwen3-8B,0.03148667483052248
FULL,256,922,256,Qwen/Qwen3-8B,0.035587937282986114
FULL,256,930,256,Qwen/Qwen3-8B,0.0352805078125
FULL,128,930,256,Qwen/Qwen3-8B,0.04234549014857881
FULL,64,930,256,Qwen/Qwen3-8B,0.0648138446969697
FULL,16,930,256,Qwen/Qwen3-8B,0.21380781378600824
FULL,8,930,256,Qwen/Qwen3-8B,0.4022747282608695
FULL,512,1230,256,Qwen/Qwen3-8B,0.03063220697831978
FULL,256,1230,256,Qwen/Qwen3-8B,0.0339735884796627
FULL,128,1230,256,Qwen/Qwen3-8B,0.04180168059593023
FULL,64,1230,256,Qwen/Qwen3-8B,0.06380774936868687
FULL,16,1230,256,Qwen/Qwen3-8B,0.20958135288065843
FULL,8,1230,256,Qwen/Qwen3-8B,0.39349523148148147
FULL,512,1522,256,Qwen/Qwen3-8B,0.028995335592503564
FULL,256,1515,256,Qwen/Qwen3-8B,0.03307206808943089
FULL,128,1530,256,Qwen/Qwen3-8B,0.04067758650274548
FULL,64,1530,256,Qwen/Qwen3-8B,0.06501155145202021
FULL,16,1530,256,Qwen/Qwen3-8B,0.2093942695473251
FULL,8,1530,256,Qwen/Qwen3-8B,0.39209961503623186
FULL,512,1807,256,Qwen/Qwen3-8B,0.031162823547979796
FULL,512,1815,256,Qwen/Qwen3-8B,0.031805654658564816
FULL,256,1800,256,Qwen/Qwen3-8B,0.03458171398628049
FULL,128,1822,256,Qwen/Qwen3-8B,0.04168915054563492
FULL,128,1830,256,Qwen/Qwen3-8B,0.04193936631944444
FULL,64,1830,256,Qwen/Qwen3-8B,0.06516608365633075
FULL,16,1830,256,Qwen/Qwen3-8B,0.20466842592592593
FULL,8,1830,256,Qwen/Qwen3-8B,0.3930080253623189
FULL,512,2092,256,Qwen/Qwen3-8B,0.03475491202590812
FULL,256,2085,256,Qwen/Qwen3-8B,0.03762931688262195
FULL,128,2130,256,Qwen/Qwen3-8B,0.045446199673445764
FULL,64,2130,256,Qwen/Qwen3-8B,0.06709809264520201
FULL,16,2130,256,Qwen/Qwen3-8B,0.21224699845679013
FULL,8,2130,256,Qwen/Qwen3-8B,0.411461856884058
FULL,512,2355,256,Qwen/Qwen3-8B,0.04107145989138177
FULL,256,2370,256,Qwen/Qwen3-8B,0.045194899961890245
FULL,128,2422,256,Qwen/Qwen3-8B,0.055049378069952574
FULL,64,2422,256,Qwen/Qwen3-8B,0.08010782670454546
FULL,16,2422,256,Qwen/Qwen3-8B,0.24976658693415638
FULL,8,2422,256,Qwen/Qwen3-8B,0.4612074120370371
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,0.02463716990427928
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,0.02797261950904393
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,0.035763043915719696
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,0.05621549722222222
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,0.19049397156084658
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,0.3629400491718427
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,0.018544864392784553
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,0.020835979249338624
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,0.026193905644379845
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,0.04179340151515152
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,0.14115699735449735
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,0.2706697619047619
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,0.0171144072265625
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,0.01930703703703704
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,0.023989119428294577
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,0.038045792613636366
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,0.1269829861111111
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,0.24676955874741202
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,0.017086871995192307
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,0.018792552083333334
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,0.022906800205910852
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,0.03613739678030303
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,0.11780114417989418
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,0.22472889169254662
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,0.017424318976151317
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,0.019533265625
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,0.02351840256605691
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,0.03636497965116279
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,0.11880449239417988
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,0.22599337962962962
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,0.017285654810855262
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,0.019260877604166667
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,0.024105509362599205
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,0.03713781686046511
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,0.1191587251984127
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,0.22713838962215321
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,0.019504902343749998
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,0.018883587239583333
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,0.020446778645833334
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,0.02533240523726852
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,0.02356081597222222
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,0.04046488226744186
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,0.13201718584656086
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,0.2498070701058201
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,0.022694265588831017
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,0.024358707967836256
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,0.02830124555386179
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,0.04192668507751938
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,0.1346034871031746
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,0.2544892857142857
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,0.27261367187499996
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,0.2747518920068027
FULL,512,330,256,nvidia/Qwen3-8B-FP8,0.032310360455472364
FULL,256,330,256,nvidia/Qwen3-8B-FP8,0.03561202156007752
FULL,128,330,256,nvidia/Qwen3-8B-FP8,0.04238259173768939
FULL,64,330,256,nvidia/Qwen3-8B-FP8,0.05297623200757576
