model_name,batch_size,best_sm_clock_base,min_energy_per_token_base,best_sm_clock_power_based,min_energy_per_token_power_based
JunHowie/Qwen3-8B-GPTQ-Int4,8,930,0.0,1230,0.13514614303977274
JunHowie/Qwen3-8B-GPTQ-Int4,16,1822,0.002832175925925926,1230,0.07891855673170194
JunHowie/Qwen3-8B-GPTQ-Int4,64,1807,0.03362413194444445,1522,0.036367469430706525
JunHowie/Qwen3-8B-GPTQ-Int4,128,922,0.0,1530,0.03128045008875868
JunHowie/Qwen3-8B-GPTQ-Int4,256,1530,0.02549358072916667,1530,0.025479058403906248
JunHowie/Qwen3-8B-GPTQ-Int4,512,2130,0.016378580729166668,1530,0.024047679267676765
JunHowie/Qwen3-8B-GPTQ-Int8,8,1830,0.21478645833333332,1530,0.2155100895673077
JunHowie/Qwen3-8B-GPTQ-Int8,16,1230,0.1188195601851852,1230,0.11935413205739144
JunHowie/Qwen3-8B-GPTQ-Int8,64,915,0.0011452083333333334,1807,0.04619625167592592
JunHowie/Qwen3-8B-GPTQ-Int8,128,2115,0.02175501302083333,1530,0.03579393736633301
JunHowie/Qwen3-8B-GPTQ-Int8,256,1815,0.023429973958333333,1530,0.030342673892910874
JunHowie/Qwen3-8B-GPTQ-Int8,512,2392,0.008320572916666668,1530,0.028296350110544214
Qwen/Qwen3-8B,8,1530,0.38861125,2130,0.39145347754166665
Qwen/Qwen3-8B,16,1830,0.20159814814814814,1830,0.20391979609638047
Qwen/Qwen3-8B,64,1830,0.06285413194444445,1830,0.06345850133203125
Qwen/Qwen3-8B,128,1830,0.0006786675347222222,1530,0.039469857921006934
Qwen/Qwen3-8B,256,930,0.0014879427083333333,1515,0.03217848892749763
Qwen/Qwen3-8B,512,2347,0.0005946940104166667,1522,0.028331168272038448
nvidia/Qwen3-8B-FP8,8,930,0.0,1530,0.23198447833611113
nvidia/Qwen3-8B-FP8,16,930,0.0,1230,0.12483398413125003
nvidia/Qwen3-8B-FP8,64,930,0.0007047500000000001,1230,0.039248401583466305
nvidia/Qwen3-8B-FP8,128,907,0.0004646614583333333,1807,0.028201053569196426
nvidia/Qwen3-8B-FP8,256,1515,0.022154259672619046,1515,0.022695458806057223
nvidia/Qwen3-8B-FP8,512,1815,0.009995590277777777,1530,0.02057327782794744
nvidia/Qwen3-8B-NVFP4,8,2295,0.008201339285714286,1230,0.22421294011513154
nvidia/Qwen3-8B-NVFP4,16,1530,0.11678549107142858,1230,0.11742626315789471
nvidia/Qwen3-8B-NVFP4,64,922,0.0011005416666666668,1230,0.035497100938271596
nvidia/Qwen3-8B-NVFP4,128,2115,0.014290520833333332,1230,0.022491333868277
nvidia/Qwen3-8B-NVFP4,256,922,0.015594756944444446,1815,0.01823616679054054
nvidia/Qwen3-8B-NVFP4,512,922,0.0009836979166666668,1530,0.016236917166694974
