model_name,sm_clock,curr_batch_size,curr_throughput,prev_batch_size,prev_throughput,abs_increase,pct_increase
JunHowie/Qwen3-8B-GPTQ-Int4,330,16,817.8720338692619,8.0,479.33524269443177,338.53679117483017,70.6263093178487
JunHowie/Qwen3-8B-GPTQ-Int4,330,64,1630.9188297941,16.0,817.8720338692619,813.0467959248381,99.4100253163571
JunHowie/Qwen3-8B-GPTQ-Int4,330,128,1976.8509888214019,64.0,1630.9188297941,345.93215902730185,21.21087528745836
JunHowie/Qwen3-8B-GPTQ-Int4,330,256,2389.33389090576,128.0,1976.8509888214019,412.48290208435833,20.86565474164952
JunHowie/Qwen3-8B-GPTQ-Int4,330,512,2568.648735582356,256.0,2389.33389090576,179.31484467659584,7.504804806021494
JunHowie/Qwen3-8B-GPTQ-Int4,630,16,1457.424139534008,8.0,809.7293000822795,647.6948394517285,79.98905799579119
JunHowie/Qwen3-8B-GPTQ-Int4,630,64,3000.2926007802175,16.0,1457.424139534008,1542.8684612462096,105.86269428332106
JunHowie/Qwen3-8B-GPTQ-Int4,630,128,3650.804135425231,64.0,3000.2926007802175,650.5115346450134,21.68160313683571
JunHowie/Qwen3-8B-GPTQ-Int4,630,256,4423.930768249438,128.0,3650.804135425231,773.1266328242073,21.176886081678457
JunHowie/Qwen3-8B-GPTQ-Int4,630,512,4824.84089553379,256.0,4423.930768249438,400.9101272843518,9.062305634656056
JunHowie/Qwen3-8B-GPTQ-Int4,922,16,1752.9703429158901,8.0,950.009818713155,802.9605242027351,84.52128687368653
JunHowie/Qwen3-8B-GPTQ-Int4,922,64,3873.3026467727345,16.0,1752.9703429158901,2120.332303856844,120.9565417022335
JunHowie/Qwen3-8B-GPTQ-Int4,922,128,4723.2809917112445,64.0,3873.3026467727345,849.97834493851,21.944537322605516
JunHowie/Qwen3-8B-GPTQ-Int4,930,128,4697.433793737116,8.0,949.8332106081259,3747.6005831289895,394.55354279827793
JunHowie/Qwen3-8B-GPTQ-Int4,930,256,5728.074276473375,128.0,4697.433793737116,1030.6404827362594,21.940500451765125
JunHowie/Qwen3-8B-GPTQ-Int4,930,512,6274.429866648688,256.0,5728.074276473375,546.3555901753134,9.538207149640703
JunHowie/Qwen3-8B-GPTQ-Int4,1230,16,2130.9063261647775,8.0,1143.380936584473,987.5253895803046,86.36888704216614
JunHowie/Qwen3-8B-GPTQ-Int4,1230,64,5176.6024346223785,16.0,2130.9063261647775,3045.696108457601,142.92961032873131
JunHowie/Qwen3-8B-GPTQ-Int4,1230,128,6359.837575114763,64.0,5176.6024346223785,1183.2351404923847,22.857369393071792
JunHowie/Qwen3-8B-GPTQ-Int4,1230,256,7644.331433260044,128.0,6359.837575114763,1284.4938581452807,20.196960110606316
JunHowie/Qwen3-8B-GPTQ-Int4,1230,512,8284.836054379699,256.0,7644.331433260044,640.504621119655,8.378818039375641
JunHowie/Qwen3-8B-GPTQ-Int4,1530,16,2622.8694068235554,8.0,1405.2770268958666,1217.5923799276889,86.64429551070391
JunHowie/Qwen3-8B-GPTQ-Int4,1530,128,7680.0547719673095,16.0,2622.8694068235554,5057.185365143754,192.81117664444812
JunHowie/Qwen3-8B-GPTQ-Int4,1530,256,9327.293789914573,128.0,7680.0547719673095,1647.2390179472632,21.448271748787402
JunHowie/Qwen3-8B-GPTQ-Int4,1530,512,10192.12467373738,256.0,9327.293789914573,864.8308838228077,9.272045067969586
JunHowie/Qwen3-8B-GPTQ-Int4,1822,16,3081.585989753638,8.0,1654.6465160629343,1426.9394736907036,86.23832702866127
JunHowie/Qwen3-8B-GPTQ-Int4,1822,256,11033.734528066556,16.0,3081.585989753638,7952.148538312918,258.05376078272815
JunHowie/Qwen3-8B-GPTQ-Int4,2115,64,8199.17554250932,8.0,1816.6344510001622,6382.541091509158,351.3387675762287
JunHowie/Qwen3-8B-GPTQ-Int4,2115,128,10190.995258203813,64.0,8199.17554250932,1991.8197156944934,24.29292683596949
JunHowie/Qwen3-8B-GPTQ-Int4,2122,256,12069.155335026117,16.0,3395.023376744571,8674.131958281545,255.4955001988534
JunHowie/Qwen3-8B-GPTQ-Int4,2407,256,13137.931031664615,64.0,8810.756122146713,4327.174909517902,49.11241270929197
JunHowie/Qwen3-8B-GPTQ-Int4,2415,512,14238.875914991313,16.0,3580.8039694891236,10658.07194550219,297.6446640563456
JunHowie/Qwen3-8B-GPTQ-Int8,330,16,751.887101062812,8.0,416.48700016180555,335.40010090100645,80.53074904395653
JunHowie/Qwen3-8B-GPTQ-Int8,330,64,1518.284845878759,16.0,751.887101062812,766.3977448159469,101.92989662046652
JunHowie/Qwen3-8B-GPTQ-Int8,330,128,1827.6915113550149,64.0,1518.284845878759,309.40666547625597,20.378696811478505
JunHowie/Qwen3-8B-GPTQ-Int8,330,256,2175.3132132307915,128.0,1827.6915113550149,347.6217018757766,19.019714197723477
JunHowie/Qwen3-8B-GPTQ-Int8,330,512,2324.408962531008,256.0,2175.3132132307915,149.09574930021654,6.853989963071958
JunHowie/Qwen3-8B-GPTQ-Int8,630,16,1095.4030536843607,8.0,581.6324786867868,513.7705749975738,88.33251130637821
JunHowie/Qwen3-8B-GPTQ-Int8,630,64,2756.002115048776,16.0,1095.4030536843607,1660.5990613644153,151.59708162023395
JunHowie/Qwen3-8B-GPTQ-Int8,630,128,3351.4666719311617,64.0,2756.002115048776,595.4645568823858,21.60609941592324
JunHowie/Qwen3-8B-GPTQ-Int8,630,256,4026.3262743421606,128.0,3351.4666719311617,674.8596024109988,20.136246857622346
JunHowie/Qwen3-8B-GPTQ-Int8,630,512,4350.354044869407,256.0,4026.3262743421606,324.02777052724605,8.047727592076157
JunHowie/Qwen3-8B-GPTQ-Int8,930,16,1232.4817678208526,8.0,648.9409205614016,583.540847259451,89.92202969025705
JunHowie/Qwen3-8B-GPTQ-Int8,930,128,4351.5766821254965,16.0,1232.4817678208526,3119.0949143046437,253.07432497111142
JunHowie/Qwen3-8B-GPTQ-Int8,930,256,5183.031471817047,128.0,4351.5766821254965,831.4547896915501,19.106977779038743
JunHowie/Qwen3-8B-GPTQ-Int8,930,512,5659.984370363987,256.0,5183.031471817047,476.95289854694056,9.20219954558239
JunHowie/Qwen3-8B-GPTQ-Int8,1230,16,1458.690136849425,8.0,766.2220994954116,692.4680373540134,90.3743232947773
JunHowie/Qwen3-8B-GPTQ-Int8,1230,64,4247.65697405275,16.0,1458.690136849425,2788.966837203325,191.1966610830124
JunHowie/Qwen3-8B-GPTQ-Int8,1230,128,5718.595390038397,64.0,4247.65697405275,1470.9384159856472,34.62940686997622
JunHowie/Qwen3-8B-GPTQ-Int8,1230,256,6927.8677992712,128.0,5718.595390038397,1209.2724092328026,21.146318750567925
JunHowie/Qwen3-8B-GPTQ-Int8,1230,512,7498.017663004657,256.0,6927.8677992712,570.1498637334571,8.229802880959072
JunHowie/Qwen3-8B-GPTQ-Int8,1530,16,1790.7024124421878,8.0,940.0915215683638,850.610890873824,90.48171070139443
JunHowie/Qwen3-8B-GPTQ-Int8,1530,128,7110.366584725916,16.0,1790.7024124421878,5319.6641722837285,297.07136905169455
JunHowie/Qwen3-8B-GPTQ-Int8,1530,256,8485.707142662208,128.0,7110.366584725916,1375.3405579362916,19.342751763189252
JunHowie/Qwen3-8B-GPTQ-Int8,1530,512,9225.545904891505,256.0,8485.707142662208,739.8387622292976,8.718645951257624
JunHowie/Qwen3-8B-GPTQ-Int8,1815,256,10030.179313026547,128.0,8300.020433168022,1730.1588798585253,20.84523639176324
JunHowie/Qwen3-8B-GPTQ-Int8,1830,16,2109.5941176800457,8.0,1113.017586562922,996.5765311171237,89.5382555629353
JunHowie/Qwen3-8B-GPTQ-Int8,2115,256,10971.915686196691,128.0,8967.549543608016,2004.3661425886748,22.35132499510268
JunHowie/Qwen3-8B-GPTQ-Int8,2122,512,12016.115773966536,64.0,6524.68521457057,5491.430559395966,84.16391563431756
JunHowie/Qwen3-8B-GPTQ-Int8,2130,16,2292.7947561949645,8.0,1199.8241465878198,1092.9706096071448,91.09423349375358
JunHowie/Qwen3-8B-GPTQ-Int8,2392,512,12818.007617047906,256.0,11784.249171377613,1033.7584456702934,8.772374299256642
