cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0,0,2265,3719719,131072,6.1514,1,599.2516666666667,3686.236702333333,100.0,23.9,59.06666666666667
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0,1,2250,3722661,131072,6.1895,1,598.6748064516131,3705.497714532259,100.0,23.096774193548388,64.54838709677419
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0,2,2236,3772130,131072,6.2225,1,598.5906129032257,3724.7300887903225,100.0,24.129032258064516,68.16129032258064
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8192,0,2422,878225,1600,2.3646,100,382.291,903.9652985999999,100.0,89.0,58.25
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8192,1,2422,914318,1600,2.3645,100,381.5919999999999,902.2742839999999,100.0,89.0,58.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8192,2,2422,875180,1600,2.3645,100,381.07591666666667,901.0540049583334,100.0,89.0,57.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8193,0,2422,912031,1600,2.3645,100,380.5516666666667,899.8144158333333,100.0,89.0,57.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8193,1,2422,873121,1600,2.3645,100,380.20966666666664,899.0057568333333,100.0,89.0,56.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8193,2,2422,910213,1600,2.3644,100,379.73483333333337,897.8450399333334,100.0,89.0,56.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8194,0,2422,871939,1600,2.3646,100,379.4403333333334,897.2246122000001,100.0,89.0,56.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8194,1,2422,908812,1600,2.3647,100,379.2756666666667,896.8731689666668,100.0,89.0,56.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8194,2,2422,870724,1600,2.3646,100,379.08383333333336,896.3816323,100.0,89.0,55.5
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8195,0,2422,908510,1600,2.3647,100,378.97174999999993,896.1544972249999,100.0,89.0,55.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8195,1,2422,907791,1600,2.3647,100,378.7455,895.6194838499999,100.0,89.0,55.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,8195,2,2422,907536,1600,2.3647,100,378.66283333333337,895.4240019833334,100.0,89.0,55.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0,0,2130,3512342,131072,6.4558,1,537.3355625,3468.9309243875005,100.0,23.6875,66.28125
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0,1,2130,3543450,131072,6.4558,1,545.5815625,3522.1654511875,100.0,22.53125,68.4375
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0,2,2130,3510172,131072,6.4559,1,546.8101562500001,3530.1516877343756,100.0,22.59375,69.875
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8192,0,2130,648814,1392,2.0848,87,324.8689090909091,677.2867016727273,100.0,88.0,59.09090909090909
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8192,1,2130,678525,1392,2.0848,87,323.5787272727273,674.5969306181819,100.0,88.0,58.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8192,2,2130,676120,1392,2.0848,87,322.54054545454545,672.4325291636363,100.0,88.0,57.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8193,0,2130,674367,1392,2.0848,87,321.64145454545456,670.5581044363637,100.0,88.0,56.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8193,1,2130,672660,1392,2.0847,87,320.25618181818174,667.6380622363636,100.0,88.0,55.63636363636363
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8193,2,2130,671061,1392,2.0848,87,320.23599999999993,667.6280127999999,100.0,88.0,55.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8194,0,2130,670249,1392,2.085,87,319.5091818181818,666.176644090909,100.0,88.0,54.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8194,1,2130,669416,1392,2.085,87,319.1407272727273,665.4084163636364,100.0,88.0,54.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8194,2,2130,668363,1392,2.0849,87,318.5242727272727,664.091256209091,100.0,88.0,53.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8195,0,2130,635621,1392,2.085,87,318.1441818181818,663.330619090909,100.0,88.0,53.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8195,1,2130,666627,1392,2.0852,87,317.86418181818186,662.8103919272728,100.0,88.0,53.0
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,8195,2,2130,665774,1392,2.0852,87,317.6331818181818,662.3287107272727,100.0,88.0,52.0
