cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,23.708602150537633
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,89.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,22.9375
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,88.0
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,18.314814814814813
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,85.0
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,16.796603912882983
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,74.0
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,14.35897435897436
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,60.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,10.142857142857144
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,52.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,26.0
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,86.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,25.022222222222222
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,85.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,21.45098039215686
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,81.95
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,18.599999999999998
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,70.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,15.32722222222222
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,57.0
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,11.451388888888888
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,50.0
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,27.583333333333332
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,85.0
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,26.673015873015874
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,84.0
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,23.020833333333332
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,79.38888888888887
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,19.500000000000004
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,68.0
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,16.555555555555557
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,56.0
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,11.916666666666666
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,49.0
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,29.50980392156863
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,83.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,28.452380952380953
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,82.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,24.944444444444443
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,78.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,21.08888888888889
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,67.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,17.444444444444443
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,54.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,13.111111111111112
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,47.0
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,29.740740740740744
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,82.97727272727273
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,28.916666666666668
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,81.0
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,25.0
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,76.57407407407406
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,21.0
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,66.0
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,17.19047619047619
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,53.0
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,13.199999999999998
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,46.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,25.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,82.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,23.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,80.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,20.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,76.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,17.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,65.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,14.066666666666668
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,53.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,11.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,46.0
NONE,16,2430,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,33.958333333333336
FULL,16,2430,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,74.0
NONE,16,2130,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,32.31372549019608
FULL,16,2130,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,71.0
NONE,16,1830,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,28.649122807017545
FULL,16,1830,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,67.0
NONE,16,1530,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,24.90909090909091
FULL,16,1530,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,57.0
NONE,16,1230,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,20.94017094017094
FULL,16,1230,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,47.0
NONE,16,930,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,16.06862745098039
FULL,16,930,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,39.0
NONE,16,2430,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,40.60989010989011
FULL,16,2430,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,62.25
NONE,16,2130,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,38.125
FULL,16,2130,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,59.05555555555555
NONE,16,1830,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,34.074074074074076
FULL,16,1830,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,54.16203703703704
NONE,16,1530,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,29.666666666666668
FULL,16,1530,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,46.0
NONE,16,1230,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,24.939393939393938
FULL,16,1230,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,38.6875
NONE,16,930,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,19.590476190476192
FULL,16,930,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,32.0
NONE,16,2430,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,45.0
FULL,16,2430,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,51.0
NONE,16,2130,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,41.952380952380956
FULL,16,2130,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,49.0
NONE,16,1830,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,38.0
FULL,16,1830,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,44.0
NONE,16,1530,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,33.26666666666667
FULL,16,1530,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,38.0
NONE,16,1230,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,28.055555555555554
FULL,16,1230,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,32.0
NONE,16,930,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,22.0
FULL,16,930,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,26.0
NONE,16,2430,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,46.25
FULL,16,2430,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,43.98333333333333
NONE,16,2130,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,44.0
FULL,16,2130,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,42.0
NONE,16,1830,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,39.611111111111114
FULL,16,1830,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,37.0
NONE,16,1530,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,35.111111111111114
FULL,16,1530,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,31.0
NONE,16,1230,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,29.055555555555557
FULL,16,1230,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,26.770833333333332
NONE,16,930,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,23.333333333333332
FULL,16,930,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,21.0
NONE,16,2430,512,nvidia/Qwen3-8B-NVFP4_prefill-all,40.28333333333333
FULL,16,2430,512,nvidia/Qwen3-8B-NVFP4_decoding-all,38.56018518518518
NONE,16,2130,512,nvidia/Qwen3-8B-NVFP4_prefill-all,42.75
FULL,16,2130,512,nvidia/Qwen3-8B-NVFP4_decoding-all,37.0
NONE,16,1830,512,nvidia/Qwen3-8B-NVFP4_prefill-all,38.166666666666664
FULL,16,1830,512,nvidia/Qwen3-8B-NVFP4_decoding-all,32.0
NONE,16,1530,512,nvidia/Qwen3-8B-NVFP4_prefill-all,33.666666666666664
FULL,16,1530,512,nvidia/Qwen3-8B-NVFP4_decoding-all,27.0
NONE,16,1230,512,nvidia/Qwen3-8B-NVFP4_prefill-all,28.666666666666668
FULL,16,1230,512,nvidia/Qwen3-8B-NVFP4_decoding-all,23.0
NONE,16,930,512,nvidia/Qwen3-8B-NVFP4_prefill-all,22.333333333333332
FULL,16,930,512,nvidia/Qwen3-8B-NVFP4_decoding-all,18.153846153846153
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,37.87777777777777
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,36.0
NONE,16,2130,256,nvidia/Qwen3-8B-NVFP4_prefill-all,38.0
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4_decoding-all,34.0
NONE,16,1830,256,nvidia/Qwen3-8B-NVFP4_prefill-all,28.444444444444443
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4_decoding-all,29.833333333333332
NONE,16,1530,256,nvidia/Qwen3-8B-NVFP4_prefill-all,30.0
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4_decoding-all,25.0
NONE,16,1230,256,nvidia/Qwen3-8B-NVFP4_prefill-all,26.0
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4_decoding-all,21.0
NONE,16,930,256,nvidia/Qwen3-8B-NVFP4_prefill-all,21.0
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4_decoding-all,17.0
NONE,16,2430,8192,nvidia/Qwen3-8B-FP8_prefill-all,26.53253968253968
