cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0.02827063116876199
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.5615435519105904
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0.026756917478712405
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.4797824700273206
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,0.02419873422202358
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.4381934351590278
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,0.02078063488774389
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.4361275319562052
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,0.019571551296517786
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.4573047820023148
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.021564060184286207
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.4627017297101437
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,0.025759475735991345
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.40157045802717684
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,0.02458830640842014
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.34379015016408554
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,0.022088182591546754
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.3160124291095122
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,0.01930136004262288
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.3149181970221765
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,0.018372402864349362
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.33206432955217235
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.019964700519962984
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.33496321586026084
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,0.024651454212205676
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.3187615558254419
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,0.02354629000163487
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.2743758289575382
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,0.021233014923350016
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.2533946705775669
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,0.018354657242329916
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.24968188434668043
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,0.017631313155704074
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.2675651275326003
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,0.019229051494725546
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.2696247836893667
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,0.024258911261417163
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.27964083512393906
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,0.023153262302761986
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.2407872698367835
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,0.020965343157385147
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.22258783812615743
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,0.018264592290129486
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.21872103586846522
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,0.01745240332497491
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.2358848278089387
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,0.019130144262017142
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.23816470564108458
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,0.023919491530400027
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,0.25746726382286406
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,0.022482726246007282
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,0.22220421138468685
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,0.020428712347896515
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,0.2064535205967078
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,0.017834913233439127
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,0.2115748147579687
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,0.01705093720703125
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,0.21999516377759973
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,0.01881869471435547
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,0.2227696145844275
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0.023780151225635263
