cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,604.1193962312938
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,378.4458149779736
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,545.5512585516974
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,319.66093768735755
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,426.0020002780655
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,282.06693495621624
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,310.2834995971083
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,242.02045689240268
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,240.59474360990592
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,205.50739768804615
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,193.76843421390097
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,182.34088451571674
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,602.2673944635451
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,370.54018791073133
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,555.0913491035517
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,311.75707561944296
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,435.5652010559516
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,275.634066666356
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,315.2507568996722
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,234.4302429983724
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,245.76073051903867
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,202.61464230821613
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,198.14794227037515
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,177.51709205321723
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,601.5317010886238
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,363.1965788963339
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,552.062822091758
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,310.0488199259927
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,438.0021429760319
