cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0.028519973754882813
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.5592916666666666
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0.026870635986328124
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.4787833453065134
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,0.024155995686848956
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.43709013888888887
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,0.020858772277832033
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.4351061827956989
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,0.019842201232910157
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.45518604166666665
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.021519050598144532
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.4634085115131579
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,0.02592738342285156
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.40164715544871793
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,0.024849349975585938
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.3440722713864307
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,0.022406768798828126
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.3175933741408935
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,0.01922486368815104
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.31394990997942385
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,0.01837055460611979
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.3337881410256411
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.01994379679361979
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.33463424744897957
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,0.02460101318359375
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.31863815972222226
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,0.023483617146809896
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.2774968988549618
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,0.021415339152018226
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.25511425781249997
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,0.01835028076171875
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.24206931515957447
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,0.017736857096354166
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.2685169444444444
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,0.019133707682291667
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.26860855263157896
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,0.024183723958333334
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.27928585069444445
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,0.02314204406738281
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.2414864317940552
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,0.020921074761284724
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.22148171296296296
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,0.01820602756076389
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.21999142699115046
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,0.0174910888671875
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.23603479853479853
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,0.019753702799479165
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.23873912377450981
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,0.0243571044921875
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,0.25761122685185184
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,0.02233329264322917
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,0.22224791003184713
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,0.02014804416232639
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,0.205567862654321
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,0.017835055881076388
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,0.2114895372418879
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,0.017396565755208333
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,0.2196583676739927
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,0.018740641276041668
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,0.2233529411764706
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0.0244315185546875
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,0.24788520833333333
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,0.021627864583333333
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,0.21371955357142858
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,0.01969095413773148
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,0.19409902777777777
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,0.01684984188988095
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,0.20417466666666667
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,0.01615475802951389
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,0.21397540222772277
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,0.018096333821614585
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,0.2148135622258772
NONE,16,2430,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,0.014362737019856771
FULL,16,2430,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,0.42705281250000005
NONE,16,2130,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,0.012370285034179689
FULL,16,2130,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,0.3630639367816092
NONE,16,1830,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,0.011141270955403647
FULL,16,1830,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,0.3578718055555556
NONE,16,1530,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,0.009811429341634115
FULL,16,1530,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,0.3647225302419355
NONE,16,1230,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,0.010254061381022136
FULL,16,1230,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,0.36123947916666665
NONE,16,930,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,0.010089042663574218
FULL,16,930,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,0.3758832922149123
NONE,16,2430,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,0.011833839416503907
FULL,16,2430,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,0.2774218349358974
NONE,16,2130,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,0.010278223673502604
FULL,16,2130,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,0.24884582411504425
NONE,16,1830,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,0.009407363891601564
FULL,16,1830,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,0.23983827319587628
NONE,16,1530,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,0.008346878051757814
