cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,gpu_util_pct
NONE,8,2430,16384,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,8,2430,16384,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,8,2430,16384,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,8,2430,16384,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,100.0
FULL,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,100.0
NONE,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,8,2430,16384,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,2430,16384,Qwen/Qwen3-8B_decoding-all,100.0
