cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,8,2430,16384,nvidia/Qwen3-8B-NVFP4_prefill-all,598.495400426513
FULL,8,2430,16384,nvidia/Qwen3-8B-NVFP4_decoding-all,342.9561873475027
NONE,8,2430,16384,nvidia/Qwen3-8B-FP8_prefill-all,597.3691780064166
FULL,8,2430,16384,nvidia/Qwen3-8B-FP8_decoding-all,364.6868072362907
NONE,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,601.2383316421204
FULL,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,373.88763844195387
NONE,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,599.4766067111242
FULL,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,376.9971757511137
NONE,8,2430,16384,Qwen/Qwen3-8B_prefill-all,602.0413969405847
FULL,8,2430,16384,Qwen/Qwen3-8B_decoding-all,377.356216898414
