cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,8,2430,16384,nvidia/Qwen3-8B-NVFP4_prefill-all,0.019341786702473957
FULL,8,2430,16384,nvidia/Qwen3-8B-NVFP4_decoding-all,0.8641733796296297
NONE,8,2430,16384,nvidia/Qwen3-8B-FP8_prefill-all,0.02334430440266927
FULL,8,2430,16384,nvidia/Qwen3-8B-FP8_decoding-all,0.8964119907407407
NONE,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,0.037821581522623694
FULL,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,0.8913187037037037
NONE,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,0.03442947387695312
FULL,8,2430,16384,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,0.7922630555555557
NONE,8,2430,16384,Qwen/Qwen3-8B_prefill-all,0.03341974639892578
FULL,8,2430,16384,Qwen/Qwen3-8B_decoding-all,1.1060188425925928
