cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,avg_temperature_C
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,67.08333333333333
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,63.30246913580246
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,70.17460317460318
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,60.086419753086425
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,66.78125
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,54.390572390572395
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,62.09803921568628
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,50.69218106995885
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,59.44444444444445
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,47.572016460905346
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,55.800000000000004
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,45.14403292181069
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,51.52777777777777
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,44.0
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,71.38162475289643
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,65.40485312899106
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,72.5871212121212
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,65.25925925925925
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,71.03703703703702
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,62.13860830527497
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,68.82608695652175
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,56.32592592592592
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,64.66666666666667
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,52.61522633744856
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,62.42857142857142
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,49.75308641975308
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,59.333333333333336
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,47.44444444444444
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,75.19281302173924
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,71.09534163042935
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,75.54809642044279
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,68.81826198492865
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,74.43455433455433
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,65.94973544973544
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,72.33333333333333
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,60.72592592592592
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,68.2361111111111
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,56.75
