cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,gpu_util_pct
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,100.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,100.0
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,100.0
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,100.0
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,100.0
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,100.0
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,100.0
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,100.0
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,100.0
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,100.0
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,99.0
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,100.0
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,89.30555555555554
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,100.0
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,100.0
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,100.0
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,100.0
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,100.0
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,100.0
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,99.73737373737374
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,100.0
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,100.0
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,100.0
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,100.0
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,100.0
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,100.0
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,98.58333333333333
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,100.0
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,100.0
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,100.0
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,100.0
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,100.0
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,100.0
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,100.0
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,100.0
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,100.0
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,100.0
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,100.0
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2346,100.0
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,100.0
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2356,100.0
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,100.0
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2345,100.0
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2414,100.0
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2339,100.0
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,100.0
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2343,100.0
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2396,100.0
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2348,100.0
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,100.0
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2357,100.0
