cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,0,0,2363,15213912,1572864,26.0929,12,587.718306451613,15335.274998411292,100.0,50.895161290322584,61.653225806451616
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,0,1,2348,15418564,1572864,26.2422,12,592.4359112903226,15546.821671262904,100.0,50.66129032258065,68.53225806451613
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,0,2,2341,15538821,1572864,26.3062,12,593.6586451612903,15616.903051341937,100.0,50.58870967741935,71.06451612903226
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,256,0,2400,2299740,102400,4.7663,200,479.89595833333334,2287.328106204167,100.0,67.0,67.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,256,1,2400,2244918,102400,4.7666,200,478.5731666666666,2281.1668562333334,100.0,67.0,66.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,256,2,2400,2287127,102400,4.7664,200,476.7854583333333,2272.5502085999997,100.0,67.0,65.29166666666667
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,257,0,2400,2279880,102400,4.7799,200,475.4750000000001,2272.7229525000002,100.0,67.0,65.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,257,1,2400,2277424,102400,4.7795,200,474.56575,2268.1870021249997,100.0,67.0,64.45833333333333
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,257,2,2400,2226490,102400,4.7795,200,473.76383333333325,2264.354241416666,100.0,67.0,64.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,258,0,2400,2223338,102400,4.7892,200,473.2395833333333,2266.4390125,100.0,67.0,64.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,258,1,2400,2269136,102400,4.7892,200,473.267,2266.5703164,100.0,67.41666666666667,64.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,258,2,2400,2266431,102400,4.7892,200,472.62612500000006,2263.5010378500006,100.0,67.25,63.041666666666664
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,259,0,2400,2264040,102400,4.7979,200,472.0540416666667,2264.8680865125,100.0,67.70833333333333,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,259,1,2400,2264072,102400,4.7979,200,473.32862500000005,2270.9834098875003,100.0,67.875,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,259,2,2400,2262048,102400,4.7981,200,471.5677083333333,2262.6290213541665,100.0,67.58333333333333,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,260,0,2400,2260521,102400,4.8069,200,471.19366666666673,2264.9808363,100.0,68.0,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,260,1,2400,2259890,102400,4.8069,200,471.0451666666666,2264.2670116499994,100.0,68.0,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,260,2,2400,2259378,102400,4.8069,200,471.0731666666666,2264.40160485,100.0,68.0,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,261,0,2400,2257393,102400,4.8166,200,470.7139583333333,2267.2408517083336,100.0,68.0,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,261,1,2400,2303500,102400,4.8162,200,470.41816666666665,2265.6279743,100.0,68.0,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,261,2,2400,2256359,102400,4.8164,200,470.29229166666664,2265.115793583333,100.0,68.0,63.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,262,0,2400,2255327,102400,4.8259,200,470.070125,2268.5114162375,100.0,68.0,62.958333333333336
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,262,1,2400,2301597,102400,4.8258,200,470.31779166666666,2269.659599025,100.0,68.0,62.416666666666664
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,262,2,2400,2254816,102400,4.8259,200,470.0324166666666,2268.3294395916664,100.0,68.0,62.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,263,0,2400,2300103,102400,4.8344,200,469.77199999999993,2271.0657567999997,100.0,68.0,62.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,263,1,2400,2253424,102400,4.8344,200,469.88070833333336,2271.5912963666665,100.0,68.0,62.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,263,2,2400,2300469,102400,4.8344,200,469.965375,2272.0006089,100.0,68.0,62.0
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,264,0,2400,2251795,102400,4.8432,200,469.394375,2273.3708370000004,100.0,68.0,62.0
