cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,latency_sec_per_token
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,1.6666264004177517e-05
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,4.694024884259259e-05
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,1.6628646850585937e-05
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,5.71556712962963e-05
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,1.666141086154514e-05
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,8.235329861111113e-05
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,1.6639879014756943e-05
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.00013516898148148147
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,1.6150241427951388e-05
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.00024979571759259264
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,1.6632080078125e-05
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.0004892372685185186
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,1.9571940104166666e-05
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,0.000987949074074074
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,2.33154296875e-05
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,5.6872938368055554e-05
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,2.3238288031684028e-05
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,6.381901041666667e-05
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,2.343504163953993e-05
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,8.427199074074073e-05
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,2.2843085394965277e-05
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.0001350821759259259
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,2.30224609375e-05
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.00023566087962962958
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,2.2986518012152778e-05
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.0004731944444444444
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,2.4085828993055555e-05
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.0008943240740740739
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,4.742304484049479e-05
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,7.623130063657408e-05
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,4.7455851236979165e-05
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,8.318446180555556e-05
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,4.7466617160373265e-05
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,0.00010231944444444446
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,4.745059543185764e-05
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,0.00014808159722222222
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,4.726426866319445e-05
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.00023388368055555554
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2346,4.689534505208333e-05
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.00042642708333333324
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2356,4.653184678819444e-05
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.0008164606481481484
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2345,4.176720513237847e-05
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2414,6.895941840277776e-05
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2339,4.175554911295573e-05
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,7.541124131944444e-05
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2343,4.167548285590277e-05
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2396,9.152025462962961e-05
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2348,4.152187771267361e-05
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,0.00011420167824074076
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2357,4.129977756076389e-05
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,0.00015988310185185186
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2362,4.0753173828125e-05
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,0.0002801944444444444
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2378,4.023301866319444e-05
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2422,0.0005250833333333332
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2199,3.984480963812933e-05
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,7.401685474537038e-05
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2195,3.989130655924479e-05
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2368,8.575679976851853e-05
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2200,3.983747694227431e-05
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.00012298017939814813
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2215,4.015485975477431e-05
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.00021184722222222227
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2241,3.991665310329861e-05
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.0003836568287037037
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2285,3.984917534722222e-05
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.0007044814814814815
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2322,4.080268012152778e-05
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.001366060185185185
