cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,memory_util_pct
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,50.715053763440864
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,67.6604938271605
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,49.37566137566137
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,63.2074074074074
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,49.1875
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,56.0
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,48.372549019607845
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,49.0
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,46.0
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,41.0
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,41.0
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,37.407407407407405
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,32.333333333333336
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,34.46090534979424
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,36.94595281885744
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,61.32950191570881
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,35.54924242424243
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,69.0
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,34.77777777777777
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,73.0909090909091
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,31.449275362318843
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,73.0
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,33.0
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,71.70679012345678
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,26.0
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,66.0
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,24.916666666666668
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,67.0
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,18.481576293622666
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,53.98440545808967
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,19.029826194909994
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,56.29573512906846
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,21.073463573463574
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,63.58201058201058
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,24.355072463768114
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,67.42962962962963
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,28.861111111111114
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,72.0
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2346,30.722222222222225
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,72.0
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2356,31.0
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,72.23412698412699
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2345,19.348626373626374
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2414,45.989417989417994
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2339,18.727848101265824
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,48.41481481481482
