cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,power_based_avg_power_W
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,591.2709543010752
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,472.15053240740747
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,593.8973968253969
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,418.30524444444444
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,591.7798645833334
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,342.40779685746355
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,584.6258627450981
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,310.5049790123457
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,590.7314074074073
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,284.83519341563783
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,460.49673333333334
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,269.1688230452675
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,317.876
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,267.0777860082305
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,600.7105088962916
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,493.75916602809707
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,600.1115265151515
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,492.2470196078432
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,600.2160740740741
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,446.2522351290685
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,599.8282028985508
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,372.2167374485597
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,601.2463333333334
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,347.02206275720164
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,582.0715238095239
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,320.17874176954734
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,406.23408333333333
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,309.2061296296296
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,600.3739802845599
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,554.8529762583096
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,600.2282095178978
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,528.0072900432899
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,600.1690682946683
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,492.6961931216931
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,599.6150144927536
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,416.31464814814825
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,600.3566805555556
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,376.99779629629637
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2346,600.1505277777778
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,336.5799067460317
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2356,579.9161428571429
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,309.12705158730154
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2345,600.0987679588928
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2414,542.6043333333333
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2339,599.7749493670887
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,515.7101813840156
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2343,599.9814875000001
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2396,482.3555804843305
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2348,600.2979083333333
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,440.41618981481486
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2357,600.2549206349206
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,401.35170370370366
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2362,600.3015151515151
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,341.6393913580247
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2378,566.4786666666668
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2422,300.176437037037
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2199,602.1630831588823
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,546.7596249407302
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2195,599.7229889624724
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2368,519.9996565656567
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2200,599.8328026315789
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,448.1352013888889
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2215,600.5666324786324
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,380.16891534391533
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2241,600.6130833333334
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,377.58040978157646
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2285,600.3168636363636
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,354.83566666666667
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2322,564.0855
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,337.9988395061728
