cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,power_based_j_per_token
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,0.009854422616114326
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,0.02216226097890595
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,0.009875708602414138
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,0.023907655825588348
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,0.00985990307202869
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,0.028197717247435288
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,0.00972810335962632
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.04196964114552469
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,0.009540452779586227
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.07115012800540123
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,0.007703210609809028
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.13169342743057164
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,0.00627900094672309
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,0.26392273969521607
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,0.01400589374849435
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,0.02808107340458373
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,0.013945572069667083
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,0.03141398991537309
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,0.014066056707207952
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,0.037605875618142146
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,0.013701926726579898
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.05027846963392168
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,0.013842167863859953
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.0817784106437275
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,0.013379793775092231
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.15150616598578961
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,0.009784471875339084
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.27653023088802076
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,0.028471593711168357
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,0.04229682650238066
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,0.02848434172099448
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,0.04392137676745192
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,0.028487996199219587
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,0.05041171661610243
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,0.028452125343577068
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,0.06164713513026621
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,0.028375403550183333
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.08817226978653067
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2346,0.028144289878788697
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.14352597764258845
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2356,0.026984667479887457
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.2523892221188823
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2345,0.02506448105071676
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2414,0.03741722628462612
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2339,0.025043916440902585
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,0.03888968571395247
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2343,0.02500451245097478
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2396,0.04414442780622885
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2348,0.02492550586642795
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,0.05029486225951245
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2357,0.024790371942994455
