cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,throughput_tokens_per_sec
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,60001.449619983396
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,21303.67913799002
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,60137.18428115896
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,17496.076545334887
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,60018.926866992966
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,12142.80443971287
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,60096.590793307936
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,7398.147038172384
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,61918.57901698545
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,4003.2711915060218
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,60124.77064220183
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,2043.9980033167649
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,51093.55509355509
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,1012.1979221825986
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,42890.05235602094
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,17583.05494132304
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,43032.429869040236
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,15669.3122232877
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,42671.14244477322
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,11866.338877367432
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,43776.92341947838
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,7402.901183264647
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,43435.84305408272
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,4243.385671697502
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,43503.761616757634
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,2113.2961549750516
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,41518.18898524609
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,1118.1628997691203
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,21086.794476471376
