cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,total_energy_based_avg_power_W
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,587.112585880447
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,472.15097194953944
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,594.4550480603795
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,418.25286032501396
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,592.6960609730038
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,341.8078232547353
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,583.8214496770119
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,308.78029044577266
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,583.0084612316026
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,284.64265939529287
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,587.6648318042813
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,270.4646073702215
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,504.3963963963964
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,266.9004718904202
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,599.0504381180918
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,492.77168420965603
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,599.3388355889542
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,492.7988039454385
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,601.1591927683387
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,439.9449945749956
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,596.9240132409043
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,372.73924480126135
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,609.6861376222457
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,346.48000353615475
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,621.2709839209323
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,323.648517757558
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,607.2192814506138
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,312.6754376883018
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,600.179483398132
