cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,total_energy_based_j_per_token
NONE,512,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2350,0.009784973356458875
FULL,512,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2400,0.022162884114583333
NONE,256,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2346,0.00988498306274414
FULL,256,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2407,0.023905523003472224
NONE,128,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2358,0.009875152587890625
FULL,128,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2415,0.028149001736111113
NONE,64,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2370,0.009714718288845486
FULL,64,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.041737517361111115
NONE,32,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2377,0.00941572740342882
FULL,32,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.0711025173611111
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2378,0.009774088541666667
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2422,0.13232136574074074
NONE,8,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,2355,0.009872016059027778
FULL,8,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,2345,0.26368407407407407
NONE,512,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2155,0.013967118369208442
FULL,512,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2368,0.028025373625578703
NONE,256,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2149,0.013927608489990235
FULL,256,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2362,0.031449932002314815
NONE,128,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2115,0.01408819071451823
FULL,128,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2412,0.037075040509259256
NONE,64,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2220,0.013635586208767361
FULL,64,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.05035042824074074
