batch_size,sm_clock,input_len,model_name,gpu_util_pct
16,630,8192,mlp,100.0
16,930,8192,mlp,100.0
16,1230,8192,mlp,100.0
16,1530,8192,mlp,100.0
16,1830,8192,mlp,100.0
16,2130,8192,mlp,100.0
16,2422,8192,mlp,100.0
16,630,128,mlp,100.0
16,930,128,mlp,100.0
16,1230,128,mlp,100.0
16,1530,128,mlp,100.0
16,1830,128,mlp,100.0
16,2130,128,mlp,100.0
16,2422,128,mlp,100.0
16,630,8192,attn,100.0
16,930,8192,attn,100.0
16,1230,8192,attn,100.0
16,1530,8192,attn,100.0
16,1830,8192,attn,100.0
16,2130,8192,attn,100.0
16,2422,8192,attn,100.0
16,630,128,attn,100.0
16,930,128,attn,100.0
16,1230,128,attn,100.0
16,1530,128,attn,100.0
16,1830,128,attn,100.0
16,2130,128,attn,100.0
16,2422,128,attn,100.0
