batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
16,630,8192,mlp,8202,322819,2160,1.9003,135,170.4036,323.81796108000003,100.0,50.0
16,630,8192,mlp,8203,323499,2160,1.9001,135,170.45727272727274,323.8858639090909,100.0,50.0
16,630,8192,mlp,8204,323754,2160,1.9001,135,170.6923,324.33243923,100.0,50.0
16,630,8192,mlp,8205,323581,2160,1.8998,135,170.86580000000004,324.6108468400001,100.0,50.0
16,630,8192,mlp,8206,323995,2160,1.8996,135,170.8559,324.55786764,100.0,50.0
16,630,8192,mlp,8207,323946,2160,1.8996,135,170.82800000000003,324.50486880000005,100.0,50.0
16,630,8192,mlp,8208,324319,2160,1.8998,135,170.89350000000002,324.6634713,100.0,50.0
16,630,8192,mlp,8209,323820,2160,1.9001,135,171.02460000000002,324.96384246,100.0,50.0
16,630,8192,mlp,8210,324224,2160,1.8999,135,171.0887,325.05142112999994,100.0,49.8
16,630,8192,mlp,8211,324470,2160,1.8997,135,171.17559999999997,325.18228731999994,100.0,50.0
16,630,8192,mlp,8212,324638,2160,1.8997,135,171.1963,325.22161111,100.0,50.0
16,630,8192,mlp,8213,324644,2160,1.9,135,171.2951,325.46068999999994,100.0,50.0
16,630,8192,mlp,8214,324733,2160,1.9002,135,171.2588,325.42597176,100.0,50.0
16,630,8192,mlp,8215,325072,2160,1.8993,135,171.2104,325.17991272,100.0,50.0
16,630,8192,mlp,8216,341857,2160,1.8997,135,170.66449999999998,324.21135064999993,100.0,50.0
16,630,8192,mlp,8217,324713,2160,1.8994,135,170.76027272727273,324.3420620181818,100.0,50.0
16,630,8192,mlp,8218,324851,2160,1.8994,135,171.29790000000003,325.36323126,100.0,50.0
16,630,8192,mlp,8219,325140,2160,1.8993,135,171.14180000000002,325.04962074,100.0,50.0
16,630,8192,mlp,8220,324927,2160,1.899,135,171.3625,325.4173875,100.0,50.0
16,630,8192,mlp,8221,325083,2160,1.8997,135,171.36520000000002,325.54247044000005,100.0,50.0
16,630,8192,mlp,8222,325332,2160,1.8992,135,171.46318181818185,325.64287490909095,100.0,50.0
16,630,8192,mlp,8223,325056,2160,1.8997,135,171.4809,325.76226572999997,100.0,50.0
16,630,8192,mlp,8224,325202,2160,1.8999,135,171.6395,326.09788605,100.0,50.0
16,630,8192,mlp,8225,325357,2160,1.9003,135,171.44230000000002,325.79180269000005,100.0,50.0
16,630,8192,mlp,8226,324824,2160,1.8998,135,171.51190000000003,325.83830762,100.0,50.0
16,630,8192,mlp,8227,325185,2160,1.8997,135,171.68254545454545,326.14533159999996,100.0,50.0
