batch_size,sm_clock,input_len,model_name,latency_sec_per_token
16,630,8192,mlp,0.0008795558058058056
16,930,8192,mlp,0.0008292296810699587
16,1230,8192,mlp,0.000720994708994709
16,1530,8192,mlp,0.0005842165798611111
16,1830,8192,mlp,0.0004987430555555554
16,2130,8192,mlp,0.0004816643518518517
16,2422,8192,mlp,0.00047679677522349936
16,630,128,mlp,0.0008755046296296296
16,930,128,mlp,0.0008319760101010101
16,1230,128,mlp,0.0007234537037037038
16,1530,128,mlp,0.0005862947530864197
16,1830,128,mlp,0.0005014787808641975
16,2130,128,mlp,0.0004846993371212121
16,2422,128,mlp,0.0004797851080246913
16,630,8192,attn,0.0019131036324786324
16,930,8192,attn,0.001736892361111111
16,1230,8192,attn,0.0014858516081871348
16,1530,8192,attn,0.0012038494744744744
16,1830,8192,attn,0.001042894841269841
16,2130,8192,attn,0.0010078410947712418
16,2422,8192,attn,0.0009940206290849673
16,630,128,attn,0.0005062735339506173
16,930,128,attn,0.0004180814043209877
16,1230,128,attn,0.0003450841049382716
16,1530,128,attn,0.00028154139046717173
16,1830,128,attn,0.00023760318023989898
16,2130,128,attn,0.0002144404987373737
16,2422,128,attn,0.00020456439393939392
