batch_size,sm_clock,input_len,model_name,memory_util_pct
16,630,8192,mlp,49.994594594594595
16,930,8192,mlp,52.0
16,1230,8192,mlp,60.0
16,1530,8192,mlp,74.0
16,1830,8192,mlp,87.0
16,2130,8192,mlp,90.0
16,2422,8192,mlp,90.92789968652038
16,630,128,mlp,50.0
16,930,128,mlp,52.0
16,1230,128,mlp,60.0
16,1530,128,mlp,74.0
16,1830,128,mlp,86.0
16,2130,128,mlp,89.0
16,2422,128,mlp,90.0
16,630,8192,attn,47.0
16,930,8192,attn,51.0
16,1230,8192,attn,60.0
16,1530,8192,attn,76.06429959371135
16,1830,8192,attn,87.0
16,2130,8192,attn,90.0
16,2422,8192,attn,91.0
16,630,128,attn,26.0
16,930,128,attn,31.85299145299145
16,1230,128,attn,38.638888888888886
16,1530,128,attn,48.0
16,1830,128,attn,56.7775974025974
16,2130,128,attn,62.8041958041958
16,2422,128,attn,65.96969696969698
