batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
16,630,8192,mlp,171.24434619164614
16,930,8192,mlp,180.81993240740744
16,1230,8192,mlp,205.1216780952381
16,1530,8192,mlp,253.42205528846154
16,1830,8192,mlp,299.6278792929293
16,2130,8192,mlp,314.2506909090909
16,2422,8192,mlp,372.45884952978054
16,630,128,mlp,173.15921723646724
16,930,128,mlp,181.1299911130536
16,1230,128,mlp,204.90473291005293
16,1530,128,mlp,253.63919084967318
16,1830,128,mlp,299.8929190476191
16,2130,128,mlp,312.2726201298702
16,2422,128,mlp,372.77785132275136
16,630,8192,attn,165.6921336996337
16,930,8192,attn,177.98953974358975
16,1230,8192,attn,203.06314486215535
16,1530,8192,attn,251.6655820526409
16,1830,8192,attn,295.87433904761906
16,2130,8192,attn,308.01954327731096
16,2422,8192,attn,368.50648963585434
16,630,128,attn,122.71955185185183
16,930,128,attn,137.14006182336183
16,1230,128,attn,161.29699222222223
16,1530,128,attn,196.6712297794118
16,1830,128,attn,234.36016774891775
16,2130,128,attn,287.7940454545455
16,2422,128,attn,309.2238958333333
