batch_size,sm_clock,input_len,model_name,power_based_j_per_token
16,630,8192,mlp,0.1506189631263195
16,930,8192,mlp,0.14994125433410496
16,1230,8192,mlp,0.14789154063249563
16,1530,8192,mlp,0.14805336475199207
16,1830,8192,mlp,0.1494373271688587
16,2130,8192,mlp,0.15136324053009262
16,2422,8192,mlp,0.17758717579233424
16,630,128,mlp,0.15159720806963237
16,930,128,mlp,0.1506958057873658
16,1230,128,mlp,0.14823905298377243
16,1530,128,mlp,0.14870730601016702
16,1830,128,mlp,0.15038992625087638
16,2130,128,mlp,0.15135833070332225
16,2422,128,mlp,0.17885324783103138
16,630,8192,attn,0.31698661217160146
16,930,8192,attn,0.30914887924289974
16,1230,8192,attn,0.30172167495006613
16,1530,8192,attn,0.30296794407423355
16,1830,8192,attn,0.30856635659113757
16,2130,8192,attn,0.3104349322128219
16,2422,8192,attn,0.36630410081897274
16,630,128,attn,0.06212916478922324
16,930,128,attn,0.057333507305417065
16,1230,128,attn,0.05566151190266203
16,1530,128,attn,0.055371350925930526
16,1830,128,attn,0.05568522485946049
16,2130,128,attn,0.06171458617991818
16,2422,128,attn,0.06325659692621957
