batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
16,630,8192,mlp,1136.9375239173703
16,930,8192,mlp,1205.93850271941
16,1230,8192,mlp,1386.9727302081194
16,1530,8192,mlp,1711.6939752681023
16,1830,8192,mlp,2005.0404489062787
16,2130,8192,mlp,2076.134545052601
16,2422,8192,mlp,2097.3296212652617
16,630,128,mlp,1142.1984146709042
16,930,128,mlp,1201.9577341882612
16,1230,128,mlp,1382.2584567340302
16,1530,128,mlp,1705.6267256967933
16,1830,128,mlp,1994.1023192979408
16,2130,128,mlp,2063.134655680214
16,2422,128,mlp,2084.2664419432895
16,630,8192,attn,522.7108364769513
16,930,8192,attn,575.7409165875357
16,1230,8192,attn,673.0147172772421
16,1530,8192,attn,830.6686352432373
16,1830,8192,attn,958.8694472612293
16,2130,8192,attn,992.2199096544862
16,2422,8192,attn,1006.0153388572398
16,630,128,attn,1975.2168204343493
16,930,128,attn,2391.8786859801025
16,1230,128,attn,2897.844281117727
16,1530,128,attn,3551.87561708303
16,1830,128,attn,4208.69787597261
16,2130,128,attn,4663.298238383155
16,2422,128,attn,4888.436255902232
