batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
16,630,8192,mlp,171.45797442459613
16,930,8192,mlp,180.71224191970026
16,1230,8192,mlp,205.68601946164912
16,1530,8192,mlp,253.13895998246701
16,1830,8192,mlp,299.60491729981703
16,2130,8192,mlp,313.68863108082354
16,2422,8192,mlp,372.39458524670573
16,630,128,mlp,175.48766408085635
16,930,128,mlp,181.10219296581553
16,1230,128,mlp,205.08509528624265
16,1530,128,mlp,253.51873688865257
16,1830,128,mlp,299.96618796414623
16,2130,128,mlp,310.76513608515637
16,2422,128,mlp,373.2694839108623
16,630,8192,attn,165.65726513148283
16,930,8192,attn,177.58945474536463
16,1230,8192,attn,202.94268674559498
16,1530,8192,attn,251.38330960959513
16,1830,8192,attn,295.7606460192649
16,2130,8192,attn,307.3813683150298
16,2422,8192,attn,367.8896383091299
16,630,128,attn,122.68959452426003
16,930,128,attn,137.1900869916681
16,1230,128,attn,161.2716192375718
16,1530,128,attn,196.27449675105126
16,1830,128,attn,234.14225611381283
16,2130,128,attn,287.73336731201636
16,2422,128,attn,306.137597213221
