batch_size,sm_clock,input_len,model_name,total_energy_based_j_per_token
16,630,8192,mlp,0.15080685685685685
16,930,8192,mlp,0.14985195473251028
16,1230,8192,mlp,0.14829853174603175
16,1530,8192,mlp,0.14788797743055554
16,1830,8192,mlp,0.14942587191358025
16,2130,8192,mlp,0.1510926311728395
16,2422,8192,mlp,0.17755653735632185
16,630,128,mlp,0.153640262345679
16,930,128,mlp,0.1506726799242424
16,1230,128,mlp,0.14836957175925924
16,1530,128,mlp,0.14863670524691358
16,1830,128,mlp,0.15042667824074074
16,2130,128,mlp,0.15062765546085857
16,2422,128,mlp,0.17908913966049383
16,630,8192,attn,0.3169195156695157
16,930,8192,attn,0.30845376736111113
16,1230,8192,attn,0.3015427174707602
16,1530,8192,attn,0.30262766516516515
16,1830,8192,attn,0.308447251984127
16,2130,8192,attn,0.309791574754902
16,2422,8192,attn,0.36568988970588234
16,630,128,attn,0.06211449459876543
16,930,128,attn,0.05735662422839506
16,1230,128,attn,0.05565227237654321
16,1530,128,attn,0.05525939472853535
16,1830,128,attn,0.05563294468118687
16,2130,128,attn,0.061701686789772725
16,2422,128,attn,0.06262485203598485
