cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,16,16,2.7512,1,27,,,,,1774327855.75433,138.963,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327855749026,0,,0,0,20078165389,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,2,27,,,,,1774327855.8000476,138.963,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327855786814,0,,0,0,20078180859,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,3,27,,,,,1774327855.9095984,144.524,30,630,630,12481,89618.25,97887.0,92,43,1113827584,1774327855901430,0,,0,0,20078197486,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,4,27,,,,,1774327856.0177388,147.607,30,630,630,12481,89618.25,97887.0,92,43,1113827584,1774327856011008,0,,0,0,20078213918,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,5,27,,,,,1774327856.1295805,150.763,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856119555,0,,0,0,20078230196,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,6,27,,,,,1774327856.237681,153.885,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856230956,0,,0,0,20078246856,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,7,27,,,,,1774327856.3495426,157.425,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856339518,0,,0,0,20078263225,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,8,27,,,,,1774327856.457662,160.425,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856450903,0,,0,0,20078279747,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,9,27,,,,,1774327856.5698676,160.958,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856559488,0,,0,0,20078296296,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,10,27,,,,,1774327856.6783233,164.395,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856671517,0,,0,0,20078312543,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,11,27,,,,,1774327856.7926476,163.98,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856779897,0,,0,0,20078345697,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,12,27,,,,,1774327856.9010491,165.246,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327856894003,0,,0,0,20078361952,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,13,27,,,,,1774327857.009473,164.514,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857002709,0,,0,0,20078378717,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,14,27,,,,,1774327857.118037,164.918,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857111190,0,,0,0,20078395038,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,15,27,,,,,1774327857.2293043,164.656,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857219620,0,,0,0,20078411369,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,16,27,,,,,1774327857.3375664,164.475,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857330915,0,,0,0,20078427934,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,17,27,,,,,1774327857.449286,164.708,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857439139,0,,0,0,20078444220,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,18,27,,,,,1774327857.557905,164.474,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857551006,0,,0,0,20078460902,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,19,27,,,,,1774327857.6693852,164.813,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857659615,0,,0,0,20078477322,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,20,27,,,,,1774327857.7777617,164.681,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857770883,0,,0,0,20078493594,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,21,27,,,,,1774327857.8908534,164.951,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857879215,0,,0,0,20078526534,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,22,27,,,,,1774327858.0004103,164.781,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327857992640,0,,0,0,20078543044,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,23,27,,,,,1774327858.1095188,164.675,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858102105,0,,0,0,20078559571,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,24,27,,,,,1774327858.2178092,164.692,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858211022,0,,0,0,20078575894,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,25,27,,,,,1774327858.3295336,164.726,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858319489,0,,0,0,20078592548,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,26,27,,,,,1774327858.4376478,164.839,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858430921,0,,0,0,20078608953,,8200,attn,seg,90,8192
FULL,False,16,16,2.7512,27,27,,,,,1774327858.5111673,165.146,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858506835,0,,0,0,20078625315,,8200,attn,seg,90,8192
FULL,False,16,16,2.7515,1,27,,,,,1774327858.7931535,164.821,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858789337,0,,0,0,20078674436,,8201,attn,seg,90,8192
FULL,False,16,16,2.7515,2,27,,,,,1774327858.8493025,164.82,30,630,630,12481,89618.25,97887.0,100,47,1113827584,1774327858839112,0,,0,0,20078674436,,8201,attn,seg,90,8192
FULL,False,16,16,2.7515,3,27,,,,,1774327858.9578862,165.153,30,630,630,12481,89618.25,97887.0,99,46,1113827584,1774327858951015,0,,0,0,20078690818,,8201,attn,seg,90,8192
FULL,False,16,16,2.7515,4,27,,,,,1774327859.070005,165.408,30,630,630,12481,89618.25,97887.0,99,46,1113827584,1774327859059542,0,,0,0,20078707211,,8201,attn,seg,90,8192
