cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,28.241666666666664
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,30.424242424242426
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,33.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,32.0654761904762
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,35.57142857142858
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,34.0
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,39.11904761904762
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,37.0
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,43.355555555555554
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,40.40740740740741
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,46.990476190476194
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,44.03333333333333
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,54.0
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,48.0
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,31.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,30.0
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,31.5
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,30.017857142857142
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,32.92307692307693
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,31.053472222222222
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,35.205128205128204
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,33.0
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,38.307692307692314
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,35.0
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,41.64102564102564
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,37.0
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,44.71794871794872
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,40.0
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,50.61538461538462
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,43.25
