cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,0,0,330,217044,20736,2.4351,81,90.59761538461538,220.6142532230769,100.0,4.0,28.0
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,0,1,330,226014,20736,2.4348,81,90.62215384615382,220.64682018461534,100.0,4.0,28.0
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,0,2,330,208319,20736,2.4345,81,90.5213076923077,220.3741235769231,100.0,4.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,32,0,330,205925,2592,1.7634,324,112.5556,198.48054504,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,32,1,330,206099,2592,1.7636,324,114.7864,202.43729504,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,32,2,330,205766,2592,1.7639,324,114.9605,202.77882595,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,33,0,330,194715,2592,1.7683,324,114.18530000000001,201.91386599000003,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,33,1,330,194760,2592,1.7663,324,114.79620000000003,202.76452806000003,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,33,2,330,195082,2592,1.766,324,114.67388888888887,202.51408777777775,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,34,0,330,195222,2592,1.7652,324,114.75333333333333,202.56258400000002,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,34,1,330,195361,2592,1.7639,324,114.9811111111111,202.81518188888887,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,34,2,330,195278,2592,1.7628,324,114.68222222222224,202.16182133333334,100.0,25.0,28.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,35,0,330,195126,2592,1.7626,324,114.94480000000001,202.60170448000002,100.0,25.0,28.9
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,35,1,330,194969,2592,1.7638,324,114.95800000000001,202.7629204,100.0,25.0,29.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,35,2,330,206489,2592,1.764,324,114.68360000000003,202.30187040000004,100.0,25.0,29.0
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,0,0,630,308515,39680,2.5138,155,123.5546923076923,310.5917855230769,100.0,8.0,30.0
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,0,1,630,308423,39680,2.5136,155,123.44876923076926,310.3008263384616,100.0,8.0,30.0
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,0,2,630,296422,39680,2.5133,155,123.51084615384617,310.4198096384616,100.0,8.0,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,32,0,630,316553,4976,2.2143,622,144.41466666666665,319.7773964,100.0,37.583333333333336,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,32,1,630,317334,4976,2.2143,622,144.54058333333333,320.05621367500004,100.0,37.916666666666664,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,32,2,630,317524,4976,2.2143,622,144.33745454545453,319.6064256,100.0,37.63636363636363,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,33,0,630,303508,4976,2.214,622,144.62063636363635,320.1900889090909,100.0,38.0,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,33,1,630,303634,4976,2.214,622,144.68563636363635,320.3339989090909,100.0,38.0,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,33,2,630,317607,4976,2.2137,622,144.66572727272725,320.2465204636363,100.0,37.81818181818182,30.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,34,0,630,317993,4976,2.2132,622,144.80581818181818,320.4842368,100.0,38.0,30.09090909090909
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,34,1,630,305372,4976,2.1792,622,145.53163636363635,317.1425419636363,100.0,38.81818181818182,31.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,34,2,630,307017,4976,2.1406,622,146.47363636363636,313.541466,100.0,39.0,31.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,35,0,630,307015,4976,2.141,622,146.4487272727273,313.54672509090915,100.0,39.0,31.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,35,1,630,307015,4976,2.1403,622,146.49981818181817,313.5535608545454,100.0,39.0,31.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,35,2,630,307066,4976,2.1407,622,146.47263636363638,313.5539726636364,100.0,39.0,31.0
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,0,0,922,397609,58624,2.6248,229,158.0556923076923,414.8645811692308,100.0,13.0,33.0
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,0,1,922,399999,58624,2.6254,229,153.37523076923077,402.6713308615385,100.0,13.0,33.0
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,0,2,922,413125,58624,2.6249,229,160.29657142857144,420.7624703428571,100.0,13.0,33.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,32,0,922,457621,7344,2.8527,918,158.4051428571429,451.8823510285715,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,32,1,922,443389,7344,2.8523,918,158.57185714285717,452.2945081285715,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,32,2,922,427876,7344,2.8531,918,158.54199999999997,452.33618019999994,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,33,0,922,443705,7344,2.8529,918,158.56799999999998,452.37864719999993,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,33,1,922,443480,7344,2.8524,918,158.49421428571426,452.08889682857136,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,33,2,922,443520,7344,2.8527,918,158.6022857142857,452.4447404571428,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,34,0,922,443945,7344,2.8523,918,158.61814285714289,452.4265288714287,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,34,1,922,443850,7344,2.8521,918,158.62314285714288,452.4090657428572,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,34,2,922,443482,7344,2.8529,918,158.62335714285717,452.5365755928572,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,35,0,922,444020,7344,2.8533,918,158.6922857142857,452.7966988285714,100.0,43.0,32.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,35,1,922,444060,7344,2.853,918,158.81364285714287,453.09532307142865,100.0,43.0,32.142857142857146
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,35,2,922,443769,7344,2.8529,918,158.709,452.7809061,100.0,43.0,32.642857142857146
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,0,0,1230,520033,77568,2.6772,303,192.82157142857142,516.2219110285714,100.0,17.0,35.0
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,0,1,1230,501732,77568,2.6769,303,192.75721428571427,515.9917869214285,100.0,17.0,35.714285714285715
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,0,2,1230,499863,77568,2.6769,303,192.72907142857144,515.9164513071429,100.0,17.0,36.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,32,0,1230,274658,4856,1.5955,607,178.02725,284.042477375,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,32,1,1230,274651,4856,1.5955,607,182.82725000000002,291.700877375,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,32,2,1230,274905,4856,1.5952,607,182.9535,291.8474232,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,33,0,1230,275020,4856,1.5953,607,183.28225,292.390173425,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,33,1,1230,292953,4856,1.5951,607,183.331125,292.4314774875,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,33,2,1230,275116,4856,1.5949,607,183.466375,292.6105214875,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,34,0,1230,293001,4856,1.5949,607,183.31400000000002,292.36749860000003,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,34,1,1230,275135,4856,1.5947,607,182.81712499999998,291.53846923749995,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,34,2,1230,274860,4856,1.5949,607,182.7828888888889,291.5204294888889,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,35,0,1230,292700,4856,1.5951,607,182.61762499999998,291.29337363749994,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,35,1,1230,275118,4856,1.5952,607,183.1081111111111,292.0940588444444,100.0,51.0,34.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,35,2,1230,292757,4856,1.5951,607,183.26524999999998,292.32640027499997,100.0,51.0,34.0
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,0,0,1500,682943,96512,2.7393,377,253.33814285714283,693.9691747285714,100.0,20.0,38.857142857142854
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,0,1,1500,684246,96512,2.7392,377,253.91857142857148,695.533750857143,100.0,20.0,39.0
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,0,2,1500,709586,96512,2.7391,377,254.02542857142856,695.8010514,100.0,20.0,39.5
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,32,0,1530,334943,6040,1.6178,755,216.54544444444446,350.3272200222222,100.0,63.0,37.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,32,1,1530,356474,6040,1.6174,755,222.93455555555556,360.5743501555556,100.0,63.0,37.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,32,2,1530,357377,6040,1.6173,755,222.8011111111111,360.336237,100.0,63.0,37.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,33,0,1530,356691,6040,1.6173,755,223.6783333333333,361.75496849999996,100.0,63.0,37.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,33,1,1530,357205,6040,1.6172,755,223.38155555555556,361.2526516444444,100.0,63.0,37.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,33,2,1530,378908,6040,1.6174,755,223.39722222222224,361.32266722222226,100.0,63.0,37.0
