cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,0.00011741898148148148
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0006807420267489712
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,6.334593413978495e-05
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0004394359592711682
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,4.477745178311499e-05
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0003884418119099492
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,3.4511654290429035e-05
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0003284836628226249
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,2.838196286472149e-05
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0002677511037527594
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,2.4345493810051736e-05
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0002299014857881137
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,2.0883184523809525e-05
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,0.0002195934427529337
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,1.850824652777778e-05
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,0.00021388541666666672
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,5.13623649691358e-05
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,0.0009154610339506174
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,2.7489079301075273e-05
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,0.0005242993951612903
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,2.1044282205240174e-05
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,0.00040965588609898106
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,1.5055392257975798e-05
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,0.0003169829482948295
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,1.2231294208664899e-05
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,0.0002629075486295314
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,1.037105044345898e-05
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,0.0002264285384331116
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,9.147693452380952e-06
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,0.00020059126984126987
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,7.977322048611112e-06
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,0.00019129947916666666
