cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,4.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,25.0
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,8.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,38.31439393939394
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,13.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,43.0
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,17.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,51.0
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,20.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,63.0
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,23.0
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,73.05555555555556
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,27.0
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,77.0
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,31.0
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,79.0
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,4.0
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,7.0
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,7.0
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,11.987179487179487
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,9.0
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,15.0
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,12.0
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,19.0
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,16.0
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,23.0
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,18.0
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,26.0
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,20.333333333333332
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,29.546296296296294
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,23.0
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,31.0
