cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,90.58035897435896
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,114.58007962962965
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,123.50476923076924
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,145.29141477272728
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,157.24249816849817
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,158.60525595238096
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,192.7692857142857
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,182.64939583333333
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,253.76071428571427
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,222.90005555555555
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,315.7167111111112
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,262.62746296296297
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,359.3496174603174
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,301.94104999999996
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,479.98144444444443
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,334.7456590909091
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,83.23121212121212
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,70.2316079059829
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,110.46345202020201
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,83.01027014652014
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,133.2342051282051
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,93.23994583333335
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,170.90424145299144
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,107.12793055555557
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,226.519344017094
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,127.10806481481482
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,281.0265641025641
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,149.4944074074074
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,328.30658974358977
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,184.08301851851851
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,427.9030512820513
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,210.344375
