cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,0.010635853860992403
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,0.07799946085262348
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007823525046202958
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06384031932156929
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007040906923066925
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,0.061608914556667574
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,0.006652787013790665
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,0.05999730883500367
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007202226932007468
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,0.059681674791973255
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007686275390240055
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06037878409186456
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,0.0075043519491980815
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06630451925091184
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,0.008883613998162615
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,0.07159721349297664
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,0.004274929365851805
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,0.0642942861837376
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,0.0030365385591773326
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,0.043522231930895876
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,0.0028038173936814187
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,0.03819629292891517
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,0.002573030204767397
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,0.03395772799116283
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,0.0027706250723217273
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,0.033417681524769136
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,0.0029145401941998547
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,0.03384979986180401
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,0.0030032343738648506
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,0.03692545152954145
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,0.0034135147440988917
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,0.04023876400598959
