cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,8516.510596352884
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,1468.9852553627595
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,15786.332833821794
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,2275.644445799479
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,22332.66879150741
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,2574.38815631883
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,28975.719088531947
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,3044.2914311387885
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,35233.64485981308
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,3734.8118681273377
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,41075.363178179665
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,4349.689157388219
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,47885.4170378024
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,4553.870040304928
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,54029.96974884506
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,4675.400574684652
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,19469.508473780574
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,1092.3457830690616
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,36378.08269412951
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,1907.3071783582163
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,47518.84574856124
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,2441.0731883353924
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,66421.38463514535
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,3154.7438289011325
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,81757.49703507088
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,3803.6184400666307
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,96422.24820444296
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,4416.404429053037
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,109317.17434625239
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,4985.261825159745
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,125355.35031760497
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,5227.405763759376
