cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,89.17597612398006
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,112.62938159423437
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,121.12403357778456
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,142.06154057226485
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,153.74192073751445
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,155.48678744822183
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,189.4693064375545
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,176.10383775481418
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,252.7228144470405
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,219.7413766450589
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,310.3760450637415
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,256.5002483730312
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,345.7691713875132
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,296.6396161779375
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,466.0533968060408
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,327.1317310345947
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,81.79256059965886
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,68.94621503450455
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,107.95694160070896
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,81.58006556368426
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,131.2165302207452
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,91.30903438033506
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,170.39660905678687
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,103.03956444405883
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,220.2764443440447
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,123.88117896197117
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,277.1591225432882
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,145.65464198827962
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,328.1924166632776
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,179.3994441037409
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,406.54021409431573
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,205.12893813782745
