cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-mlp,0.01047095228909465
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-mlp,0.07667155349794239
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007672715053763441
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06242694935691318
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-mlp,0.00688417144286754
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06039756944444444
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-mlp,0.006538899202420242
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-mlp,0.05784723366282262
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007172769534703802
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-mlp,0.05883599613686534
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007556258083887657
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-mlp,0.05896978820598007
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-mlp,0.007220761408730159
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06514011457342214
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-mlp,0.008625831163194445
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-mlp,0.06996870659722222
PIECEWISE,8,330,32,Qwen/Qwen3-1.7B_prefill-attn,0.004201059349279835
FULL,8,330,32,Qwen/Qwen3-1.7B_decoding-attn,0.06311757330246914
PIECEWISE,8,630,32,Qwen/Qwen3-1.7B_prefill-attn,0.0029676369287634408
FULL,8,630,32,Qwen/Qwen3-1.7B_decoding-attn,0.042772379032258064
PIECEWISE,8,930,32,Qwen/Qwen3-1.7B_prefill-attn,0.002761357691957788
FULL,8,930,32,Qwen/Qwen3-1.7B_decoding-attn,0.037405283387918487
PIECEWISE,8,1230,32,Qwen/Qwen3-1.7B_prefill-attn,0.002565387788778878
FULL,8,1230,32,Qwen/Qwen3-1.7B_decoding-attn,0.03266178492849285
PIECEWISE,8,1530,32,Qwen/Qwen3-1.7B_prefill-attn,0.00269426599801061
FULL,8,1530,32,Qwen/Qwen3-1.7B_decoding-attn,0.03256929708222812
PIECEWISE,8,1830,32,Qwen/Qwen3-1.7B_prefill-attn,0.0028744312407612714
FULL,8,1830,32,Qwen/Qwen3-1.7B_decoding-attn,0.032980367701404285
PIECEWISE,8,2130,32,Qwen/Qwen3-1.7B_prefill-attn,0.0030022036210317457
FULL,8,2130,32,Qwen/Qwen3-1.7B_decoding-attn,0.03598596230158731
PIECEWISE,8,2430,32,Qwen/Qwen3-1.7B_prefill-attn,0.0032431022135416664
FULL,8,2430,32,Qwen/Qwen3-1.7B_decoding-attn,0.039241059027777775
